CRANSWICK PLC,GB0002318888        ,2064,203145,0
CREDICORP LIMITED,BMG2519Y1084        ,150,44283,0
CREDIT AGRICOLE SA,FR0000045072        ,12806,284637,0
CREDIT CORP GROUP LIMITED,AU000000CCP3        ,28456,455017,0
CREDIT SAISON CO LIMITED,JP3271400008        ,9882,375544,0
CREDITO EMILIANO SPA,IT0003121677        ,14212,258612,0
CREST NICHOLSON HOLDINGS PLC,GB00B8VZXT93        ,8123,27750,0
CRH PUBLIC LIMITED ORD SHS,IE0001827041        ,8241,1231427,0
CRINETICS PHARMACEUTICALS INC,US22663K1079        ,24931,2058833,0
CRITERIA CAIXACORP SA,ES0140609019        ,1938717,16977285,0.0003
CROCS INC,US2270461096        ,1514,267920,0
CRODA INTERNATIONAL PLC,GB00BJFFLV09        ,1512,103519,0
CROMPTON GREAVES CONSUMER ELECTRICALS LTD,INE299U01018        ,107827,805123,0
CROWDSTRIKE HOLDINGS INC,US22788C1053        ,49921,27587524,0.0005
CROWN HOLDINGS INC,US2283681060        ,1446,193101,0
CRYSTAL INTERNATIONAL GROUP LTD,KYG2701R1011        ,82866,75293,0
CSL LIMITED,AU000000CSL8        ,2282459,642694785,0.0122
CSX CORP COM,US1264081035        ,753254,39259486,0.0007
CTS EVENTIM AG AND CO. KGAA,DE0005470306        ,751,102584,0
CUMMINS INC,US2310211063        ,5239,2949675,0.0001
CUMMINS INDIA LTD,INE298A01020        ,22221,1372449,0
CVC CAPITAL PARTNERS PLC,JE00BRX98089        ,3163,112475,0
CVS HEALTH CORP,US1266501006        ,45599,3306080,0.0001
CYBERAGENT INC,JP3311400000        ,71650,807025,0
CYBERARK SOFTWARE LTD,IL0011334468        ,593,318998,0
CYTOKINETICS INC,US23282W6057        ,77976,5924235,0.0001
D LINK CORP,TW0002332004        ,86402,108330,0
DAMPSKIBSSELSKABET NORDEN A/S,DK0060083210        ,551,26224,0
DAESANG CORPORATION,KR7001680008        ,5762,121314,0
DAESANG HOLDINGS CO LTD,KR7084690007        ,45538,508602,0
DAI ICHI LIFE HOLD NPV,JP3476480003        ,12897,561291,0
DAI NIPPON PRINTING CO LTD,JP3493800001        ,4778,108976,0
DAIFUKU CO LTD NPV,JP3497400006        ,48802,1655076,0
DAIHEN CORP,JP3497800007        ,597,49641,0
DAIICHI SANKYO COMPANY LIMITED,JP3475350009        ,25051,1120408,0
DAIKIN INDUSTRIES,JP3481800005        ,18444,3536879,0.0001
DAIMLER AG,US2338252073        ,64527,1440302,0
DAIMLER TRUCK HOLDING AG,DE000DTR0CK8        ,5941,366119,0
DAISHIN SECURITIES CO LTD,KR7003541000        ,18302,315252,0
DAIWA SECURITIES GROUP INC.,JP3502200003        ,16030,172648,0
DANAHER CORP,US2358511028        ,107721,39937698,0.0008
DANIELI & C DI RISP EUR1,IT0000076486        ,908,29092,0
DANONE,FR0000120644        ,7767,845952,0
DARDEN RESTAURANTS INC,US2371941053        ,6469,1950494,0
DARFON ELECTRONICS CORP,TW0008163007        ,324514,696236,0
DASHANG ORD SHS A,CNE000000DW4        ,96220,561435,0
DASSAULT AVIATION EUR0.80 (POST SUBDIVISION),FR0014004L86        ,225,74224,0
DASSAULT SYSTEMES SE,FR0014003TT8        ,9542,534619,0
DATA3 LIMITED,AU000000DTL4        ,50258,321146,0
DATADOG INC,US23804L1035        ,99087,22867766,0.0004
DATANG INTL POWER GEN CO-H,CNE1000002Z3        ,197058,59000,0
DAVE AND BUSTERS ENTERTAINMENT INC,US2383371091        ,12417,585398,0
DAVIDE CAMPARI MIL,NL0015435975        ,7016,70611,0
DAVITA INC,US23918K1088        ,4623,1116630,0
DAY ONE BIOPHARMAC COM,US23954D1090        ,96557,1975903,0
DAYFORCE INC,US15677J1088        ,10901,1278903,0
DBS GROUP HOLDINGS LTD,SG1L01001701        ,678225,35105895,0.0007
DCC PLC,IE0002424939        ,1127,117124,0
DE GREY MINING LTD,AU000000DEG6        ,27043305,47731433,0.0009
DECKERS OUTDOOR ORD SHS A,US2435371073        ,6864,2251462,0
DEERE & CO,US2441991054        ,54945,37600202,0.0007
DEHUA TB NEW DECORATION MATERIAL CO LTD,CNE000001LT1        ,30,78,0
DELEK GROUP LTD,IL0010841281        ,217,45635,0
DELHIVERY LTD,INE148O01028        ,1122398,7329456,0.0001
DELIVEROO PLC,GB00BNC5T391        ,43651,125291,0
DELIVERY HERO SE,DE000A2E4K43        ,2187,99197,0
DELL TECHNOLOGIES INC,US24703L2025        ,34374,6397945,0.0001
DELTA AIR LINES INC,US2473617023        ,20411,1994438,0
DELTA ELECTRONICS INC,TW0002308004        ,464487,9851051,0.0002
DELTA GALIL INDUSTRIES LTD,IL0006270347        ,4761,424167,0
DELTA ISREAL BRAND ORD SHS,IL0011736993        ,3585,98506,0
DEMANT A S,DK0060738599        ,1134,67196,0
DEN DANSKE BANK AS DKK,DK0010274414        ,11237,513368,0
DENSO CORP NPV,JP3551500006        ,152616,3473259,0.0001
DENTSU GROUP INC,JP3551520004        ,2326,91120,0
DEPPON LOGISTICS ORD SHS A,CNE100002SZ0        ,127077,402940,0
DESCARTES SYSTEMS GROUP INC,CA2499061083        ,1455,266892,0
DETERRA ROYALTIES LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000107484        ,3083837,11471872,0.0002
DEUTSCHE BANK AG (REG),DE0005140008        ,29195,812491,0
DEUTSCHE BOERSE AG,DE0005810055        ,50609,18824205,0.0004
DEUTSCHE LUFTHANSA AG,DE0008232125        ,6818,70426,0
DEUTSCHE POST AG,DE0005552004        ,12272,697431,0
DEVELOP GLOBAL LTD,AU0000179707        ,1388686,3249525,0.0001
DEVON ENERGY CORPORATION,US25179M1036        ,32252,1704919,0
DEXCOM INC,US2521311074        ,32552,4088816,0.0001
DGB FINANCIAL GROUP,KR7139130009        ,74229,666159,0
DIAGEO ORD,GB0002374006        ,26772,1374135,0
DIAMONDBACK ENERGY INC,US25278X1090        ,36726,9717938,0.0002
DIASORIN SPA,IT0003492391        ,199,33077,0
DICK'S SPORTING GOODS INC,US2533931026        ,691,255581,0
DIETEREN GROUP,BE0974259880        ,245,65723,0
DIGITALOCEAN HLDGS COM,US25402D1028        ,10811,594884,0
DIP CORPORATION,JP3548640006        ,4150,106786,0
DIRECT LINE INSURANCE GROUP PLC,GB00BY9D0Y18        ,43329,223670,0
DISCO CORPORATION NPV,JP3548600000        ,5249,2304897,0
DISCOVER FINANCIAL SERVICES,US2547091080        ,10545,2950377,0.0001
DISCOVERIE GROUP PLC,GB0000055888        ,3948,57094,0
DISTRIBUIDORA INTERNACIONAL DE ALIMENTACION SA,ES0126775032        ,3174965,81243,0
DIVERSIFIED ENERGY CO PLC,GB00BQHP5P93        ,2639,71731,0
DIVIS LABORATORIES LTD,INE361B01024        ,41207,4741017,0.0001
DIXON TECHNOLOGIES INR2.00 (POST SUBD),INE935N01020        ,2857,966632,0
DNB BANK ASA,NO0010161896        ,10775,347674,0
DOCEBO ORD SHS,CA25609L1058        ,6749,488586,0
DOCUSIGN INC,US2561631068        ,76666,11136765,0.0002
DOF GROUP ORD SHS,NO0012851874        ,12551,150817,0
DOLLAR GENERAL,US2566771059        ,55706,6821598,0.0001
DOLLAR TREE INC,US2567461080        ,12882,1559187,0
DOLLARAMA INC,CA25675T1075        ,4044,637063,0
DOMAIN HOLDINGS AUSTRALIA LIMITED ORDINARY FULLY PAID,AU000000DHG9        ,268467,679221,0
DOMINO`S PIZZA GRP ORD GBP0.00520833,GB00BYN59130        ,16940,107940,0
DOMINOS PIZZA ENTERPRISES LTD,AU000000DMP0        ,205137,6039248,0.0001
DOMINOS PIZZA INC,US25754A2015        ,2099,1423257,0
DONALDSON COMPANY INC,US2576511099        ,3036,330268,0
DOORDASH INC,US25809K1051        ,117910,31946185,0.0006
DORMA KABA HOLDING AG,CH0011795959        ,385,442356,0
DORMAN PRODUCTS INC,US2582781009        ,598,125120,0
DOUYU INTERNATIONAL HOLDADR,US25985W2044        ,4471,80953,0
DOVER CORPORATION COM,US2600031080        ,6533,1979438,0
DOW INC,US2605571031        ,32322,2094971,0
DOWA HOLDINGS CO LTD,JP3638600001        ,2179,99801,0
DOWLAIS GROUP PLC,GB00BMWRZ071        ,49475,67502,0
DOWNER EDI LIMITED,AU000000DOW2        ,578304,3036095,0.0001
DOXIMITY INC,US26622P1075        ,7369,635478,0
DR HORTON INC,US23331A1097        ,12333,2785053,0.0001
DR ING HC F PORSCHE AG,DE000PAG9113        ,111937,10936742,0.0002
DR MARTENS PLC,GB00BL6NGV24        ,23212,33900,0
DRAFTKINGS HOLDINGS INC,US26142V1052        ,5281,317267,0
DRAX GROUP PLC,GB00B1VNSX38        ,22710,297668,0
DROPBOX INC,US26210C1045        ,100076,4855522,0.0001
DSM FIRMENICH AG EUR0.01,CH1216478797        ,2237,365649,0
DSV A/S,DK0060079531        ,34560,11851004,0.0002
DUFRY GROUP,CH0023405456        ,881,57081,0
DUN AND BRADSTREET HOLDINGS INC,US26484T1060        ,7209,145080,0
DUNDEE PRECIOUS METALS INC,CA2652692096        ,5541,81137,0
DUNELM GROUP PLC,GB00B1CKQ739        ,5043,108951,0
DUPONT DE NEMOURS INC,US26614N1028        ,18157,2236039,0
DYNATRACE INC,US2681501092        ,4086,358687,0
DYNE THERAPEUTICS,US26818M1080        ,100220,3813594,0.0001
E INK HOLDINGS INC,TW0008069006        ,640523,8614558,0.0002
E-MART CO LTD,KR7139480008        ,485,33744,0
EAGERS AUTOMOTIVE LIMITED ORDINARY FULLY PAID,AU000000APE3        ,30975,366739,0
EAST JAPAN RAILWAY JPY,JP3783600004        ,123216,3539242,0.0001
EAST WEST BANCORP INC,US27579R1041        ,6092,942168,0
EASTMAN CHEMICAL COM,US2774321002        ,8376,1235434,0
EATON CORPORATION PLC COM,IE00B8KQN827        ,12708,6811739,0.0001
EBAY INC,US2786421030        ,22200,2221294,0
EBOS GROUP LTD,NZEBOE0001S6        ,472906,16074082,0.0003
ECOLAB LTD,US2788651006        ,9316,3525805,0.0001
EDENRED,FR0010908533        ,2949,156589,0
EDGEWISE THERAPEUTICS INC,US28036F1057        ,50871,2193722,0
EDP RENOVAVEIS SA,ES0127797019        ,3556,59714,0
EDWARDS LIFESCIENCES CORP,US28176E1082        ,58048,6940585,0.0001
EICHER MOTORS INR1,INE066A01021        ,3906,355326,0
EIFFAGE INC,FR0000130452        ,837,118643,0
EISAI CO LTD JPY,JP3160400002        ,4212,187380,0
ELASTIC NV,NL0013056914        ,2175,348131,0
ELBIT SYSTEMS LTD,IL0010811243        ,304,128530,0
ELDERS LIMITED,AU000000ELD6        ,52896,378736,0
ELECTRIC POWER DEVELOPMENT CO LTD,JP3551200003        ,42751,1130002,0
ELECTROCOMPONENTS PLC,GB0003096442        ,16113,222124,0
ELECTROLUX AB SER B NPV,SE0016589188        ,5464,73399,0
ELECTRONIC ARTS INC,US2855121099        ,15834,3741411,0.0001
ELEMENT FINANCIAL CORP,CA2861812014        ,4463,145659,0
ELEMENTIS PLC,GB0002418548        ,24476,71887,0
ELEVANCE HEALTH INC,US0367521038        ,20606,12277366,0.0002
EMCOR GROUP INC,US29084Q1004        ,672,492927,0
EMECO HOLDINGS LTD,AU000000EHL7        ,158174,144729,0
EMERALD RESOURCES NL ORDINARY FULLY PAID,AU000000EMR4        ,120276,390896,0
EMERSON ELECTRIC CO,US2910111044        ,20206,4044523,0.0001
EMIRATES NBD BANK PJSC,AEE000801010        ,8039,75824,0
EML PAYMENTS LIMITED,AU000000EML7        ,56456,47140,0
EMPIRE CO LIMITED,CA2918434077        ,1257,61970,0
EMS CHEMIE HLDS REG,CH0016440353        ,80,87007,0
ENACT HLDGS INC COM,US29249E1091        ,2018,105543,0
ENDEAVOUR GROUP LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000154833        ,3952509,16600537,0.0003
ENDEAVOUR MINING PLC,GB00BL6K5J42        ,2094,60358,0
ENEOS HOLDINGS INC,JP3386450005        ,39181,332720,0
ENI SPA,IT0003132476        ,32396,709237,0
ENLIVEN THERAPEUTICS ORD SHS,US29337E1029        ,105759,3843312,0.0001
ENOMOTO ORD SHS,JP3165800008        ,1314,19387,0
ENOVA INTERNATIONAL INC,US29357K1034        ,630,97594,0
ENPHASE ENERGY INC,US29355A1079        ,20279,2249516,0
ENTAIN PLC,IM00B5VQMV65        ,7281,101216,0
ENTEGRIS INC,US29362U1043        ,1823,291675,0
EOG RESOURCES INC,US26875P1012        ,20235,4006130,0.0001
EPAM SYSTEMS INC,US29414B1044        ,7647,2887867,0.0001
EPIROC AB,SE0015658109        ,7929,223168,0
EPIROC AB SER B NPV POST SPLIT,SE0015658117        ,4444,111987,0
EQT AB,SE0012853455        ,4480,200438,0
EQT CORPORATION,US26884L1098        ,27817,2071621,0
EQT HOLDINGS LIMITED,AU000000EQT1        ,9060,289917,0
EQUIFAX INC,US2944291051        ,5514,2269696,0
EQUINOR ASA,NO0010096985        ,12050,454809,0
EQUITABLE HOLDINGS INC,US29452E1010        ,88607,6750532,0.0001
ERICSSON LM - B SHS,SE0000108656        ,45133,592963,0
ERICSSON TELEFON,SE0000108649        ,8172,107268,0
ERIE INDEMNITY CO,US29530P1021        ,1922,1279521,0
ERSTE GROUP BANK AG,AT0000652011        ,5300,528786,0
ESSENTRA PLC,GB00B0744359        ,12255,32971,0
ESSILORLUXOTTICA,FR0000121667        ,3576,1409174,0
ESSITY AB SER B NPV,SE0009922164        ,8732,377430,0
ESTEE LAUDER COMPANIES,US5184391044        ,12840,1554897,0
ETSY INC,US29786A1060        ,2749,234852,0
EURAZEO,FR0000121121        ,521,62635,0
EUROFINS SCIENTIFIC,FR0014000MR3        ,1540,126963,0
EURONET WORLDWIDE INC,US2987361092        ,883,146679,0
EURONEXT NV,NL0006294274        ,915,165784,0
EVERBRIGHT SECURITIES CO LTD,CNE1000029M4        ,115506,192130,0
EVERCORE INC COM USD 0.01 CLASS A,US29977A1051        ,1125,503879,0
EVEREST GROUP LTD,BMG3223R1088        ,2603,1523827,0
EVOLUTION AB,SE0012673267        ,2448,305217,0
EVOLUTION MINING LIMITED,AU000000EVN4        ,4108705,19762872,0.0004
EVONIK INDUSTRIES AG,DE000EVNK013        ,2921,81720,0
EVS BROADCAST EQUIPMENT,BE0003820371        ,3674,190169,0
EXACT SCIENCES CORP,US30063P1057        ,2200,199678,0
EXELIXIS INC,US30161Q1040        ,110896,5964391,0.0001
EXOR NV,NL0012059018        ,1196,177166,0
EXPEDIA GROUP INC,US30212P3038        ,6719,2021922,0
EXPEDITORS INTL WASH INC,US3021301094        ,8165,1460770,0
EXPENSIFY INC A,US30219Q1067        ,9232,49953,0
EXPERIAN GROUP LTD,GB00B19NLV48        ,11065,771033,0
EXTREME CO LTD,JP3161270008        ,3992,61369,0
EXXON MOBIL CORPORATION,US30231G1022        ,191900,33340419,0.0006
F.C.C. CO LTD,JP3166900005        ,21495,705779,0
F5 NETWORKS INC,US3156161024        ,7777,3158610,0.0001
FABRINET,KYG3323L1005        ,5589,1984931,0
FACTSET RESEARCH SYSTEMS INC,US3030751057        ,2077,1611515,0
FAIR ISAAC CORPORATION,US3032501047        ,3677,11825073,0.0002
FAIRFAX FINL HOLDINGS LTD CAD,CA3039011026        ,251,564773,0
FANUC CORP NPV,JP3802400006        ,53552,2297702,0
FAR EAST SMARTER ENERGY CO A,CNE000000HQ7        ,56126,58990,0
FAST RETAILING CO LTD,JP3802300008        ,2326,1286491,0
FASTENAL CO,US3119001044        ,22753,2642652,0.0001
FBD HOLDINGS PLC,IE0003290289        ,2617,55363,0
FDXEX CORP COM,US31428X1063        ,58296,26488802,0.0005
FEDERAL BANK LTD,INE171A01029        ,509342,1921958,0
FEDERATED HERMES COM NPV CLASS B,US3142111034        ,1999,132750,0
FERGUSON ENTERPRISES INC,US31488V1070        ,2389,669671,0
FERRARI NV COM,NL0011585146        ,1517,1046235,0
FERREXPO PLC,GB00B1XH2C03        ,10938,23409,0
FERROVIAL SE EUR0.01,NL0015001FS8        ,5822,395310,0
FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062        ,44606,5819015,0.0001
FIDELITY NATL FINL FNF GROUP,US31620R3030        ,3143,285001,0
FIH MOBILE LTD COM USD0.04,KYG3472Y1017        ,454245,86891,0
FILA HOLDINGS CORP,KR7081660003        ,1164,51465,0
FINANCIAL PRODUCTS GROUP CO LTD,JP3166990006        ,1523,45299,0
FINECOBANK BANCO FINECO SPA,IT0000072170        ,7351,206427,0
FINEOS CORPORATION HOLDINGS PLC,AU0000054322        ,1046615,1925772,0
FIRAN TECHNOLOGY GROUP CORP,CA3180931014        ,4296,35173,0
FIRST ABU DHABI BANK PJSC,AEN000101016        ,26198,158280,0
FIRST BANCORP PUERTO RICO,PR3186727065        ,40448,1214463,0
FIRST CITIZENS BCSHS - CL A,US31946M1036        ,126,429079,0
FIRST HAWAIIAN INC,US32051X1081        ,4094,171597,0
FIRST INTERNATIONAL BANK OF ISRAEL LTD,IL0005930388        ,3274,260388,0
FIRST QUANTUM MINERALS LTD,CA3359341052        ,8549,177909,0
FIRST SOLAR INC,US3364331070        ,12914,3675856,0.0001
FIRSTGROUP PLC,GB0003452173        ,22778,74042,0
FIRSTRAND LTD,ZAE000066304        ,11184,72712,0
FISERV INC COM,US3377381088        ,32535,10794228,0.0002
FISHER & PAYKEL HEALTHCARE,NZFAPE0001S2        ,56805,1985322,0
FISHER & PAYKEL HEALTHCARE CORPORATION LTD,NZFAPE0001S2        ,7052,245037,0
FIVERR INTERNATIONAL LTD,IL0011582033        ,8690,445323,0
FLEETPARTNERS GROUP LIMITED ORDINARY FULLY PAID,AU0000272924        ,34889,93852,0
FLETCHER BUILDING LIMITED,NZFBUE0001S0        ,6685074,17046938,0.0003
FLEX LTD COM,SG9999000020        ,127967,7934538,0.0002
FLIGHT CENTRE TRAVEL GROUP LIMITED,AU000000FLT9        ,19345,322672,0
FLOWERS FOODS INC,US3434981011        ,5670,189204,0
FLUIDRA SA,ES0137650018        ,25748,1012835,0
FLUTTER ENTERTAINM ORD,IE00BWT6H894        ,24889,10431621,0.0002
FLUTTER ENTERTAINMENT ORD SHS,IE00BWT6H894        ,2122,885633,0
FMC CORP,US3024913036        ,10675,838127,0
FOOD & LIFE COMPANIES LTD,JP3397150008        ,3135,107726,0
FOOT LOCKER INC,US3448491049        ,2086,73319,0
FORD MOTOR COMPANY,US3453708600        ,160181,2561236,0
FORESIGHT GROUP HOLDINGS LTD,GG00BMD8MJ76        ,2994,24891,0
FORTESCUE METALS GROUP LTD,AU000000FMG4        ,4280971,78127717,0.0015
FORTINET INC COM,US34959E1091        ,94683,14448202,0.0003
FORTIVE CORP,US34959J1088        ,16622,2013493,0
FORTNOX AB,SE0017161243        ,4952,52189,0
FORTUNA MINING COR COM NPV,CA3499421020        ,9274,64259,0
FORTUNE BRANDS HOME AND SECURITY,US34964C1062        ,1509,166505,0
FOSCHINI GP ZAR,ZAE000148466        ,8085,116263,0
FOSSIL GROUP INC,US34988V1061        ,20925,56439,0
FOX CORP,US35137L1052        ,13745,1078474,0
FOX CORP COM,US35137L2043        ,8131,600657,0
FOXSEMICON INTEGRATED TECHNOLOGY INC,TW0003413001        ,47468,710902,0
FRANCO NEVADA CORP,CA3518581051        ,3142,596211,0
FRANKLIN RESOURCES INC,US3546131018        ,30063,985183,0
FRASERS GROUP PLC,GB00B1QH8P22        ,5213,64217,0
FREAKOUT HOLDINGS INC,JP3826550000        ,2476,15953,0
FREEPORT  MCMORAN INC,US35671D8570        ,450505,27707718,0.0005
FREIGHTWAYS GROUP LTD,NZFREE0001S0        ,12076,116269,0
FRESENIUS MEDICAL CARE AG & CO,DE0005785802        ,2340,172852,0
FRESENIUS SE CO KGAA,DE0005785604        ,5083,285100,0
FRESHWORKS ORD SHS CLASS A,US3580541049        ,3717,97086,0
FRONTDOOR INC,US35905A1097        ,6405,565595,0
FTAC OLYMPUS ACQUISITION CORP,US70451X1046        ,7118,115430,0
FUFENG GROUP LTD,KYG368441195        ,35825,40819,0
FUJI ELECTRIC CO LTD,JP3820000002        ,1446,127163,0
FUJI FILM HOLDINGS CORP,JP3814000000        ,99603,3387130,0.0001
FUJIAN ANJOY FOODS CO LTD,CNE100002YQ7        ,354727,6395459,0.0001
FUJIAN FOXIT SOFTWARE DEVELOPMENT JOINT STOCK ORD SHS A,CNE100004348        ,27004,401299,0
FUJIKURA LIMITED,JP3811000003        ,3772,253817,0
FUJITSU JPY,JP3818000006        ,115970,3336486,0.0001
FUKUDA DENSHI CO LTD,JP3806000000        ,119,8922,0
FURUKAWA ELECTRIC NPV,JP3827200001        ,13524,929105,0
FUTU HOLDINGS LTD,US36118L1061        ,629,81216,0
FUTURE PLC,GB00BYZN9041        ,3650,68439,0
G-III APPAREL GROUP LIMITED,US36237H1014        ,21496,1132494,0
GALAXY ENTERTAINMENT GROUP LIMITED,HK0027032686        ,1983797,13611588,0.0003
GALDERMA GROUP N ORD SHS,CH1335392721        ,913,163829,0
GALP ENERGIA SGPS SA-B SHRS,PTGAL0AM0009        ,5592,149163,0
GAMEVIL INC,KR7063080006        ,2220,82208,0
GAP INC COM STK USD0.05,US3647601083        ,103235,3939988,0.0001
GARMIN ORD,CH0114405324        ,6651,2215793,0
GARTNER INC CL-A,US3666511072        ,23207,18159209,0.0003
GE AEROSPACE,US3696043013        ,53596,14437912,0.0003
GE HEALTHCARE HOLDING LLC,US36266G1076        ,19148,2417792,0
GE VERNOVA ORS SHS,US36828A1016        ,9280,4930358,0.0001
GEA GROUP AG,DE0006602006        ,1768,141377,0
GEBERIT AG-REG,CH0030170408        ,402,368982,0
GEELY AUTOMOBILE HOLDINGS LIMITED,KYG3777B1032        ,135414,417264,0
GENERAC HOLDINGS INC,US3687361044        ,9083,2274725,0
GENERAL DYNAMICS CORP,US3695501086        ,8990,3825945,0.0001
GENERAL INTERFACE SOLUTION HOLDING LTD,KYG3808R1011        ,150763,375821,0
GENERAL MILLS INC,US3703341046        ,23628,2433610,0
GENERAL MOTORS CO,US37045V1008        ,46622,4011241,0.0001
GENERALI,IT0000062072        ,15316,698508,0
GENESCO INC,US3715321028        ,4604,317916,0
GENESIS MINERALS LTD,AU000000GMD9        ,1482575,3661959,0.0001
GENMAB AS,DK0010272202        ,756,253136,0
GENTERA SAB DE CV,MX01GE0E0004        ,428292,808422,0
GENTING SINGAPORE LTD,SGXE21576413        ,68898,62402,0
GENTRACK GROUP LIMITED ORDINARY FULLY PAID,NZGTKE0002S9        ,180223,2088782,0
GENUINE PARTS CO USD,US3724601055        ,8077,1523117,0
GENUIT GROUP PLC,GB00BKRC5K31        ,8870,69883,0
GENUS PLC,GB0002074580        ,2119,66445,0
GENUSPLUS GROUP LTD ORDINARY FULLY PAID,AU0000117160        ,35594,93255,0
GENWORTH FINANCIAL-A,US37247D1063        ,10880,122828,0
GEORGE WESTON LTD,CA9611485090        ,691,173593,0
GERON CORP,US3741631036        ,218195,1247535,0
GETINGE AB-B,SE0000202624        ,2606,69167,0
GFL ENVIRONMENTAL INC,CA36168Q1046        ,2515,180953,0
GILDAN ACTIVEWEAR INC,CA3759161035        ,1760,133724,0
GILEAD SCIENCES INC,US3755581036        ,58110,8669356,0.0002
GIVAUDAN - REG,CH0010645932        ,111,786468,0
GJENSIDIGE FORSIKR NOK,NO0010582521        ,1777,50798,0
GLOBAL E ONLINE ORD,IL0011741688        ,219999,19375797,0.0004
GLOBAL PAYMENTS INC,US37940X1028        ,12300,2226145,0
GLOBE LIFE INC,US37959E1029        ,12612,2271603,0
GLOBUS MEDICAL INC,US3795772082        ,52032,6950743,0.0001
GMO INTERNET GROUP INC,JP3152750000        ,1702,46868,0
GODADDY INC,US3802371076        ,42787,13639405,0.0003
GODREJ CONSUMER PRODUCTS LTD,INE102D01028        ,20111,410533,0
GOKURAKUYU HOLDINGS CO LTD,JP3387850005        ,8034,38062,0
GOLD ROAD RESOURCES LTD,AU000000GOR5        ,22750984,46639518,0.0009
GOLDEN AGRI-RESOURCE LTD,MU0117U00026        ,146374,45924,0
GOLDEN OCEAN GROUP LTD,BMG396372051        ,36506,517586,0
GOLDMAN SACHS GROUP INC.,US38141G1040        ,47703,44118423,0.0008
GOODWIN ORD SHS,GB0003781050        ,173,27430,0
GOOSEHEAD INSURANCE INC,US38267D1090        ,573,99159,0
GPE BRUXELLES LAM NPV,BE0003797140        ,1003,110830,0
GQG PARTNERS INC,AU0000180499        ,4549113,9416663,0.0002
GRAB HOLDINGS LTD,KYG4124C1096        ,28604,218056,0
GRACO INC,US3841091040        ,2012,273860,0
GRAFTON GROUP UT 1 ORD 1C ORD AND 17A ORD,IE00B00MZ448        ,7149,138777,0
GRAINCORP LIMITED,AU000000GNC9        ,38784,284677,0
GRAINGER W W INC,US3848021040        ,1716,2921469,0.0001
GRANITE CONSTRUCTION INC,US3873281071        ,1058,149882,0
GREAT WALL MOTOR COMPANY H,CNE100000338        ,535847,1521911,0
GREAT WEST LIFECO,CA39138C1068        ,3206,171632,0
GREATLAND GOLD PLC,GB00B15XDH89        ,67008653,8620554,0.0002
GREENCORE GROUP PLC,IE0003864109        ,17809,69812,0
GREGGS PLC,GB00B63QSB39        ,4272,240722,0
GRIFFON CORPORATION,US3984331021        ,907,104366,0
GRIFOLS SA,ES0171996087        ,2652,40568,0
GRUPO CATALANA OCCIDENTE SA,ES0116920333        ,962,57735,0
GSK PLC,GB00BN7SWP63        ,49872,1358351,0
GUANGDONG LINGXIAO PUMP INA,CNE100002MZ3        ,104623,422952,0
GUANGDONG TCL SMART HOME APPLIANCES ORD SHS A,CNE100001D05        ,43945,127577,0
GUANGDONG VANWARD NEW ELECTRIC ORD SHS A,CNE100000ZT2        ,111562,252780,0
GUANGSHEN RAILWAY CO LTD,CNE100000379        ,607344,272763,0
GUANGZHO GUANGRI STOCK ORD SHS A,CNE000000JS9        ,217560,702841,0
GUANGZHOU AUTOMOBILE GROUP,CNE100000Q35        ,1249047,885586,0
GUIDEWIRE SOFTWARE INC,US40171V1008        ,12858,3500888,0.0001
GUODIAN NANJING AUTOMATION ORD SHS A,CNE0000010S3        ,335050,498201,0
GUOSHENG FINANCIAL HOLDING INC,CNE100001D21        ,208202,603046,0
GUOTAI JUNAN SECURITIES CO LTD,CNE1000022F3        ,90596,373865,0
GUZMAN Y GOMEZ ORD SHS,AU0000336679        ,81710,3314986,0.0001
GWA GROUP LIMITED,AU000000GWA4        ,47202,114229,0
H & R BLOCK INCORPORATED,US0936711052        ,19002,1621642,0
H LUNDBECK A S SER B DKK1,DK0061804770        ,391448,3627520,0.0001
HAIDILAO INTERNATIONAL HOLDING LTD,KYG4290A1013        ,273861,905366,0
HAIER SMART HOME ADR,US40523H1068        ,4514,102072,0
HAITIAN INTERNATIONAL HOLDINGS LTD,KYG4232C1087        ,16169,70935,0
HALEON PLC,GB00BMX86B70        ,7152042,54598305,0.001
HALLIBURTON CO,US4062161017        ,42799,1879525,0
HALMA PLC,GB0004052071        ,4568,248446,0
HALOZYME THERAPEUTICS INC,US40637H1095        ,2988,230714,0
HAMAT GROUP LTD,IL0003840167        ,10075,76593,0
HAMILTON LANE INC,US4074971064        ,829,198240,0
HANA FINANCIAL GROUP,KR7086790003        ,75838,4725919,0.0001
HANESBRANDS INC,US4103451021        ,125353,1648027,0
HANG SENG BANK,HK0011000095        ,9052,179842,0
HANKYU HANSHIN HOLDINGS NPV,JP3774200004        ,2577,109050,0
HANNOVER RUECK SE,DE0008402215        ,725,292885,0
HANSEN TECHNOLOGIES LIMITED,AU000000HSN3        ,42959,229828,0
HANWA CO LTD,JP3777800008        ,687,35142,0
HAREL INSURANCE INVESTMENTS AND FINANCIAL SERVICES LTD,IL0005850180        ,2926,65363,0
