PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR THE DIVERSIFIED MY SUPER OPTION  - ASSETS - 2024-12-31,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%)
LISTED EQUITY,-,-,-,-,UBS GROUP AG,-,UBSG SW,-,,"133,857","$6,615,266",0.06%
LISTED EQUITY,-,-,-,-,"INTUIT, INC.",-,INTU US,-,,"6,476","$6,574,094",0.06%
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"560,292","$6,558,738",0.06%
LISTED EQUITY,-,-,-,-,BANK OF QUEENSLAND LTD.,-,BOQ AU,-,,"973,014","$6,519,199",0.06%
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,"15,475","$6,514,444",0.06%
LISTED EQUITY,-,-,-,-,PINNACLE INVESTMENT MANAGEMENT GROUP LTD.,-,PNI AU,-,,"285,023","$6,512,770",0.06%
LISTED EQUITY,-,-,-,-,SGH LTD.,-,SGH AU,-,,"140,615","$6,483,768",0.06%
LISTED EQUITY,-,-,-,-,"ARISTA NETWORKS, INC.",-,ANET US,-,,"36,286","$6,477,789",0.06%
LISTED EQUITY,-,-,-,-,BRISTOL-MYERS SQUIBB CO.,-,BMY US,-,,"70,796","$6,467,344",0.06%
LISTED EQUITY,-,-,-,-,BENDIGO & ADELAIDE BANK LTD.,-,BEN AU,-,,"482,373","$6,319,087",0.06%
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,"7,450","$6,259,780",0.06%
LISTED EQUITY,-,-,-,-,"LIFE360, INC.",-,360 AU,-,,"274,326","$6,183,298",0.06%
LISTED EQUITY,-,-,-,-,SIEMENS AG,-,SIE GR,-,,"19,428","$6,126,706",0.06%
LISTED EQUITY,-,-,-,-,"PEPSICO, INC.",-,PEP US,-,,"24,867","$6,107,355",0.06%
LISTED EQUITY,-,-,-,-,TATA CONSULTANCY SERVICES LTD.,-,TCS IN,-,,"79,032","$6,105,125",0.06%
LISTED EQUITY,-,-,-,-,LAM RESEARCH CORP.,-,LRCX US,-,,"51,740","$6,036,056",0.06%
LISTED EQUITY,-,-,-,-,DOMAIN HOLDINGS AUSTRALIA LTD.,-,DHG AU,-,,"2,377,900","$6,016,088",0.06%
LISTED EQUITY,-,-,-,-,TPG TELECOM LTD.,-,TPG AU,-,,"1,330,187","$5,972,541",0.06%
LISTED EQUITY,-,-,-,-,"CME GROUP, INC.",-,CME US,-,,"15,850","$5,945,106",0.06%
LISTED EQUITY,-,-,-,-,"AIRBNB, INC.",-,ABNB US,-,,"27,948","$5,931,940",0.06%
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"32,567","$5,856,982",0.06%
LISTED EQUITY,-,-,-,-,"CATERPILLAR, INC.",-,CAT US,-,,"9,907","$5,804,329",0.06%
LISTED EQUITY,-,-,-,-,"SK HYNIX, INC.",-,000660 KS,-,,"30,115","$5,745,520",0.06%
LISTED EQUITY,-,-,-,-,L'OREAL SA,-,OR FP,-,,"9,964","$5,696,333",0.05%
LISTED EQUITY,-,-,-,-,MOODY'S CORP.,-,MCO US,-,,"7,449","$5,695,399",0.05%
LISTED EQUITY,-,-,-,-,WELLS FARGO & CO.,-,WFC US,-,,"49,846","$5,654,798",0.05%
LISTED EQUITY,-,-,-,-,NANOSONICS LTD.,-,NAN AU,-,,"1,861,885","$5,604,275",0.05%
LISTED EQUITY,-,-,-,-,"CHENIERE ENERGY, INC.",-,LNG US,-,,"16,143","$5,602,131",0.05%
LISTED EQUITY,-,-,-,-,"INTUITIVE SURGICAL, INC.",-,ISRG US,-,,"6,574","$5,542,018",0.05%
LISTED EQUITY,-,-,-,-,LENDLEASE CORP. LTD.,-,LLC AU,-,,"876,393","$5,459,927",0.05%
LISTED EQUITY,-,-,-,-,IGO LTD.,-,IGO AU,-,,"1,140,306","$5,439,261",0.05%
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"133,785","$5,412,941",0.05%
LISTED EQUITY,-,-,-,-,"GILEAD SCIENCES, INC.",-,GILD US,-,,"36,200","$5,400,709",0.05%
LISTED EQUITY,-,-,-,-,LYNAS RARE EARTHS LTD.,-,LYC AU,-,,"834,527","$5,366,006",0.05%
LISTED EQUITY,-,-,-,-,SAMSUNG ELECTRONICS CO. LTD.,-,005930 KS,-,,"91,858","$5,361,430",0.05%
LISTED EQUITY,-,-,-,-,"CISCO SYSTEMS, INC.",-,CSCO US,-,,"55,873","$5,342,361",0.05%
LISTED EQUITY,-,-,-,-,"LOWE'S COS., INC.",-,LOW US,-,,"13,389","$5,337,205",0.05%
LISTED EQUITY,-,-,-,-,RECRUIT HOLDINGS CO. LTD.,-,6098 JP,-,,"46,437","$5,318,779",0.05%
LISTED EQUITY,-,-,-,-,TECHTRONIC INDUSTRIES CO. LTD.,-,669 HK,-,,"249,464","$5,316,542",0.05%
LISTED EQUITY,-,-,-,-,JOHNSON CONTROLS INTERNATIONAL PLC,-,JCI US,-,,"41,312","$5,266,441",0.05%
LISTED EQUITY,-,-,-,-,"MERCADOLIBRE, INC.",-,MELI US,-,,"1,910","$5,245,706",0.05%
LISTED EQUITY,-,-,-,-,BARRICK GOLD CORP.,-,GOLD US,-,,"208,627","$5,222,821",0.05%
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"273,373","$5,186,216",0.05%
LISTED EQUITY,-,-,-,-,ARB CORP. LTD.,-,ARB AU,-,,"125,749","$5,106,670",0.05%
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"35,136","$5,068,858",0.05%
LISTED EQUITY,-,-,-,-,"TRAVELERS COS., INC.",-,TRV US,-,,"13,016","$5,063,945",0.05%
LISTED EQUITY,-,-,-,-,"MARSH & MCLENNAN COS., INC.",-,MMC US,-,,"14,697","$5,042,276",0.05%
LISTED EQUITY,-,-,-,-,SOCIETE GENERALE SA,-,GLE FP,-,,"110,474","$5,018,147",0.05%
LISTED EQUITY,-,-,-,-,"PALANTIR TECHNOLOGIES, INC.",-,PLTR US,-,,"40,961","$5,003,456",0.05%
LISTED EQUITY,-,-,-,-,INTERNATIONAL BUSINESS MACHINES CORP.,-,IBM US,-,,"13,982","$4,964,475",0.05%
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"102,117","$4,934,013",0.05%
LISTED EQUITY,-,-,-,-,"HCA HEALTHCARE, INC.",-,HCA US,-,,"10,054","$4,874,229",0.05%
LISTED EQUITY,-,-,-,-,ROYAL BANK OF CANADA,-,RY CN,-,,"24,654","$4,798,821",0.05%
LISTED EQUITY,-,-,-,-,TOKYO ELECTRON LTD.,-,8035 JP,-,,"19,279","$4,791,957",0.05%
LISTED EQUITY,-,-,-,-,KLA CORP.,-,KLAC US,-,,"4,700","$4,783,706",0.05%
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,"8,196","$4,766,381",0.05%
LISTED EQUITY,-,-,-,-,MARUTI SUZUKI INDIA LTD.,-,MSIL IN,-,,"23,131","$4,738,289",0.05%
LISTED EQUITY,-,-,-,-,CHORUS LTD.,-,CNU AU,-,,"596,611","$4,737,090",0.05%
LISTED EQUITY,-,-,-,-,TELIX PHARMACEUTICALS LTD.,-,TLX AU,-,,"192,264","$4,731,619",0.05%
LISTED EQUITY,-,-,-,-,GUZMAN Y GOMEZ LTD.,-,GYG AU,-,,"114,795","$4,657,232",0.04%
LISTED EQUITY,-,-,-,-,FUJITSU LTD.,-,6702 JP,-,,"160,712","$4,623,736",0.04%
LISTED EQUITY,-,-,-,-,FOMENTO ECONOMICO MEXICANO SAB DE CV,-,FEMSAUBD MM,-,,"334,495","$4,617,102",0.04%
LISTED EQUITY,-,-,-,-,IMDEX LTD.,-,IMD AU,-,,"1,986,371","$4,608,381",0.04%
LISTED EQUITY,-,-,-,-,"ENBRIDGE, INC.",-,ENB CN,-,,"66,729","$4,571,952",0.04%
LISTED EQUITY,-,-,-,-,"WILLIAMS COS., INC.",-,WMB US,-,,"52,265","$4,568,561",0.04%
LISTED EQUITY,-,-,-,-,HARVEY NORMAN HOLDINGS LTD.,-,HVN AU,-,,"976,744","$4,561,394",0.04%
LISTED EQUITY,-,-,-,-,"AMERICAN ELECTRIC POWER CO., INC.",-,AEP US,-,,"30,502","$4,543,695",0.04%
LISTED EQUITY,-,-,-,-,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP.,-,WAB US,-,,"14,808","$4,534,422",0.04%
LISTED EQUITY,-,-,-,-,KELSIAN GROUP LTD.,-,KLS AU,-,,"1,234,460","$4,518,124",0.04%
LISTED EQUITY,-,-,-,-,STEADFAST GROUP LTD.,-,SDF AU,-,,"774,481","$4,491,988",0.04%
LISTED EQUITY,-,-,-,-,DANONE SA,-,BN FP,-,,"41,189","$4,485,847",0.04%
LISTED EQUITY,-,-,-,-,"ADVANCED MICRO DEVICES, INC.",-,AMD US,-,,"22,989","$4,484,999",0.04%
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"295,622","$4,457,979",0.04%
LISTED EQUITY,-,-,-,-,PARKER-HANNIFIN CORP.,-,PH US,-,,"4,331","$4,449,501",0.04%
LISTED EQUITY,-,-,-,-,INTESA SANPAOLO SPA,-,ISP IM,-,,"687,179","$4,439,651",0.04%
LISTED EQUITY,-,-,-,-,"WORKDAY, INC.",-,WDAY US,-,,"10,646","$4,436,950",0.04%
LISTED EQUITY,-,-,-,-,3M CO.,-,MMM US,-,,"21,202","$4,420,452",0.04%
LISTED EQUITY,-,-,-,-,ALCON AG,-,ALC SW,-,,"32,226","$4,416,575",0.04%
LISTED EQUITY,-,-,-,-,LONDON STOCK EXCHANGE GROUP PLC,-,LSEG LN,-,,"19,345","$4,415,848",0.04%
LISTED EQUITY,-,-,-,-,"ECOLAB, INC.",-,ECL US,-,,"11,660","$4,412,719",0.04%
LISTED EQUITY,-,-,-,-,SIEMENS ENERGY AG,-,ENR GR,-,,"51,623","$4,349,675",0.04%
LISTED EQUITY,-,-,-,-,ALLSTATE CORP.,-,ALL US,-,,"13,942","$4,340,914",0.04%
LISTED EQUITY,-,-,-,-,"FORTINET, INC.",-,FTNT US,-,,"28,423","$4,337,243",0.04%
LISTED EQUITY,-,-,-,-,"CROWDSTRIKE HOLDINGS, INC.",-,CRWD US,-,,"7,839","$4,331,353",0.04%
LISTED EQUITY,-,-,-,-,INSIGNIA FINANCIAL LTD.,-,IFL AU,-,,"1,213,775","$4,308,901",0.04%
LISTED EQUITY,-,-,-,-,NEWS CORP.,-,NWS AU,-,,"86,716","$4,292,442",0.04%
LISTED EQUITY,-,-,-,-,PEXA GROUP LTD.,-,PXA AU,-,,"327,347","$4,275,146",0.04%
LISTED EQUITY,-,-,-,-,GSK PLC,-,GSK LN,-,,"156,235","$4,255,294",0.04%
LISTED EQUITY,-,-,-,-,CHALLENGER LTD.,-,CGF AU,-,,"706,484","$4,245,970",0.04%
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,"8,558","$4,235,071",0.04%
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,"10,941","$4,233,947",0.04%
LISTED EQUITY,-,-,-,-,APA GROUP,-,APA AU,-,,"606,131","$4,224,735",0.04%
LISTED EQUITY,-,-,-,-,HSBC HOLDINGS PLC,-,HSBA LN,-,,"265,379","$4,215,516",0.04%
LISTED EQUITY,-,-,-,-,TOYOTA MOTOR CORP.,-,7203 JP,-,,"129,915","$4,200,289",0.04%
LISTED EQUITY,-,-,-,-,ENDEAVOUR GROUP LTD.,-,EDV AU,-,,"996,197","$4,184,025",0.04%
LISTED EQUITY,-,-,-,-,IRESS LTD.,-,IRE AU,-,,"449,285","$4,182,847",0.04%
LISTED EQUITY,-,-,-,-,"VERTEX PHARMACEUTICALS, INC.",-,VRTX US,-,,"6,423","$4,177,685",0.04%
LISTED EQUITY,-,-,-,-,IBERDROLA SA,-,IBE SM,-,,"187,475","$4,170,131",0.04%
LISTED EQUITY,-,-,-,-,KIMBERLY-CLARK CORP.,-,KMB US,-,,"19,461","$4,118,958",0.04%
LISTED EQUITY,-,-,-,-,"PNC FINANCIAL SERVICES GROUP, INC.",-,PNC US,-,,"13,196","$4,110,450",0.04%
LISTED EQUITY,-,-,-,-,NATWEST GROUP PLC,-,NWG LN,-,,"505,363","$4,110,397",0.04%
LISTED EQUITY,-,-,-,-,CHUBB LTD.,-,CB US,-,,"9,190","$4,101,139",0.04%
LISTED EQUITY,-,-,-,-,MEGAPORT LTD.,-,MP1 AU,-,,"544,724","$4,014,614",0.04%
LISTED EQUITY,-,-,-,-,"NETAPP, INC.",-,NTAP US,-,,"21,092","$3,954,349",0.04%
LISTED EQUITY,-,-,-,-,DINO POLSKA SA,-,DNP PW,-,,"25,928","$3,951,916",0.04%
LISTED EQUITY,-,-,-,-,"HARTFORD FINANCIAL SERVICES GROUP, INC.",-,HIG US,-,,"22,288","$3,938,270",0.04%
LISTED EQUITY,-,-,-,-,"BLOCK, INC.",-,SQ US,-,,"28,683","$3,937,258",0.04%
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"64,397","$3,903,484",0.04%
LISTED EQUITY,-,-,-,-,"PAYPAL HOLDINGS, INC.",-,PYPL US,-,,"27,960","$3,854,293",0.04%
LISTED EQUITY,-,-,-,-,TE CONNECTIVITY PLC,-,TEL US,-,,"16,583","$3,829,186",0.04%
LISTED EQUITY,-,-,-,-,AMADEUS IT GROUP SA,-,AMS SM,-,,"33,549","$3,826,656",0.04%
LISTED EQUITY,-,-,-,-,BLUESCOPE STEEL LTD.,-,BSL AU,-,,"203,470","$3,802,865",0.04%
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"782,146","$3,762,123",0.04%
LISTED EQUITY,-,-,-,-,DBS GROUP HOLDINGS LTD.,-,DBS SP,-,,"72,462","$3,750,736",0.04%
LISTED EQUITY,-,-,-,-,BELLEVUE GOLD LTD.,-,BGL AU,-,,"3,322,347","$3,737,641",0.04%
LISTED EQUITY,-,-,-,-,"LULULEMON ATHLETICA, INC.",-,LULU US,-,,"6,047","$3,734,582",0.04%
LISTED EQUITY,-,-,-,-,EBOS GROUP LTD.,-,EBO AU,-,,"109,783","$3,731,524",0.04%
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"107,664","$3,727,615",0.04%
LISTED EQUITY,-,-,-,-,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,-,GAPB MM,-,,"130,524","$3,716,228",0.04%
LISTED EQUITY,-,-,-,-,BHARTI AIRTEL LTD.,-,BHARTI IN,-,,"121,426","$3,637,074",0.03%
LISTED EQUITY,-,-,-,-,DECKERS OUTDOOR CORP.,-,DECK US,-,,"11,082","$3,634,874",0.03%
LISTED EQUITY,-,-,-,-,BANCO BILBAO VIZCAYA ARGENTARIA SA,-,BBVA SM,-,,"228,640","$3,614,343",0.03%
LISTED EQUITY,-,-,-,-,"NEXTERA ENERGY, INC.",-,NEE US,-,,"31,090","$3,599,886",0.03%
LISTED EQUITY,-,-,-,-,COLLINS FOODS LTD.,-,CKF AU,-,,"493,316","$3,581,476",0.03%
LISTED EQUITY,-,-,-,-,PREMIER INVESTMENTS LTD.,-,PMV AU,-,,"111,271","$3,575,140",0.03%
LISTED EQUITY,-,-,-,-,HEALIUS LTD.,-,HLS AU,-,,"2,600,510","$3,562,699",0.03%
LISTED EQUITY,-,-,-,-,NUFARM LTD.,-,NUF AU,-,,"1,005,408","$3,559,145",0.03%
LISTED EQUITY,-,-,-,-,CORPORATE TRAVEL MANAGEMENT LTD.,-,CTD AU,-,,"264,352","$3,502,658",0.03%
LISTED EQUITY,-,-,-,-,"ONEOK, INC.",-,OKE US,-,,"21,573","$3,498,190",0.03%
LISTED EQUITY,-,-,-,-,ROLLS-ROYCE HOLDINGS PLC,-,RR LN,-,,"303,904","$3,495,345",0.03%
LISTED EQUITY,-,-,-,-,EQUINOR ASA,-,EQNR NO,-,,"92,234","$3,481,118",0.03%
LISTED EQUITY,-,-,-,-,MAAS GROUP HOLDINGS LTD.,-,MGH AU,-,,"722,738","$3,461,917",0.03%
LISTED EQUITY,-,-,-,-,INDUSTRIA DE DISENO TEXTIL SA,-,ITX SM,-,,"41,649","$3,457,761",0.03%
LISTED EQUITY,-,-,-,-,"ALLY FINANCIAL, INC.",-,ALLY US,-,,"59,250","$3,446,008",0.03%
LISTED EQUITY,-,-,-,-,KEYENCE CORP.,-,6861 JP,-,,"5,183","$3,442,374",0.03%
LISTED EQUITY,-,-,-,-,INTEL CORP.,-,INTC US,-,,"105,773","$3,425,270",0.03%
LISTED EQUITY,-,-,-,-,"EMCOR GROUP, INC.",-,EME US,-,,"4,636","$3,398,269",0.03%
LISTED EQUITY,-,-,-,-,SANRIO CO. LTD.,-,8136 JP,-,,"59,291","$3,375,667",0.03%
LISTED EQUITY,-,-,-,-,BAKER HUGHES CO.,-,BKR US,-,,"50,720","$3,360,304",0.03%
LISTED EQUITY,-,-,-,-,RWE AG,-,RWE GR,-,,"69,628","$3,357,247",0.03%
LISTED EQUITY,-,-,-,-,INTEGRAL DIAGNOSTICS LTD.,-,IDX AU,-,,"1,152,784","$3,354,601",0.03%
LISTED EQUITY,-,-,-,-,EXELON CORP.,-,EXC US,-,,"54,584","$3,318,299",0.03%
LISTED EQUITY,-,-,-,-,BNP PARIBAS SA,-,BNP FP,-,,"33,428","$3,310,748",0.03%
LISTED EQUITY,-,-,-,-,"REGENERON PHARMACEUTICALS, INC.",-,REGN US,-,,"2,873","$3,305,753",0.03%
LISTED EQUITY,-,-,-,-,MONADELPHOUS GROUP LTD.,-,MND AU,-,,"234,622","$3,284,705",0.03%
LISTED EQUITY,-,-,-,-,SHELL PLC,-,SHELL NA,-,,"65,038","$3,275,677",0.03%
LISTED EQUITY,-,-,-,-,FLIGHT CENTRE TRAVEL GROUP LTD.,-,FLT AU,-,,"195,430","$3,259,780",0.03%
LISTED EQUITY,-,-,-,-,"INTERCONTINENTAL EXCHANGE, INC.",-,ICE US,-,,"13,506","$3,250,375",0.03%
LISTED EQUITY,-,-,-,-,AMERICA MOVIL SAB DE CV,-,AMX US,-,,"139,391","$3,221,648",0.03%
LISTED EQUITY,-,-,-,-,ADIDAS AG,-,ADS GR,-,,"8,106","$3,210,491",0.03%
LISTED EQUITY,-,-,-,-,NIB HOLDINGS LTD.,-,NHF AU,-,,"582,337","$3,191,204",0.03%
LISTED EQUITY,-,-,-,-,CIE DE SAINT-GOBAIN SA,-,SGO FP,-,,"22,249","$3,188,875",0.03%
LISTED EQUITY,-,-,-,-,LIBERTY MEDIA CORP.-LIBERTY FORMULA ONE,-,FWONK US,-,,"21,306","$3,188,693",0.03%
LISTED EQUITY,-,-,-,-,OOH!MEDIA LTD.,-,OML AU,-,,"2,699,095","$3,184,933",0.03%
LISTED EQUITY,-,-,-,-,MARATHON PETROLEUM CORP.,-,MPC US,-,,"14,052","$3,166,088",0.03%
LISTED EQUITY,-,-,-,-,HONG KONG EXCHANGES & CLEARING LTD.,-,388 HK,-,,"51,620","$3,164,071",0.03%
LISTED EQUITY,-,-,-,-,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",-,8316 JP,-,,"81,681","$3,159,582",0.03%
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"23,236","$3,158,534",0.03%
LISTED EQUITY,-,-,-,-,SPARK NEW ZEALAND LTD.,-,SPK AU,-,,"1,173,831","$3,157,606",0.03%
LISTED EQUITY,-,-,-,-,AGL ENERGY LTD.,-,AGL AU,-,,"279,463","$3,155,138",0.03%
LISTED EQUITY,-,-,-,-,INFOMEDIA LTD.,-,IFM AU,-,,"2,048,050","$3,153,997",0.03%
LISTED EQUITY,-,-,-,-,COWAY CO. LTD.,-,021240 KS,-,,"42,963","$3,153,360",0.03%
LISTED EQUITY,-,-,-,-,SCHLUMBERGER NV,-,SLB US,-,,"50,891","$3,151,374",0.03%
LISTED EQUITY,-,-,-,-,CIE FINANCIERE RICHEMONT SA,-,CFR SW,-,,"12,699","$3,120,843",0.03%
LISTED EQUITY,-,-,-,-,"CENCORA, INC.",-,COR US,-,,"8,589","$3,117,024",0.03%
LISTED EQUITY,-,-,-,-,WAL-MART DE MEXICO SAB DE CV,-,WALMEX MM,-,,"726,141","$3,096,036",0.03%
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,"8,405","$3,095,682",0.03%
LISTED EQUITY,-,-,-,-,RELIANCE WORLDWIDE CORP. LTD.,-,RWC AU,-,,"615,879","$3,091,713",0.03%
LISTED EQUITY,-,-,-,-,JUDO CAPITAL HOLDINGS LTD.,-,JDO AU,-,,"1,677,588","$3,053,209",0.03%
LISTED EQUITY,-,-,-,-,DSM-FIRMENICH AG,-,DSFIR NA,-,,"18,651","$3,048,183",0.03%
LISTED EQUITY,-,-,-,-,GRUPO FINANCIERO BANORTE SAB DE CV,-,GFNORTEO MM,-,,"292,240","$3,041,158",0.03%
LISTED EQUITY,-,-,-,-,TELEFONAKTIEBOLAGET LM ERICSSON,-,ERICB SS,-,,"231,347","$3,039,473",0.03%
LISTED EQUITY,-,-,-,-,LOBLAW COS. LTD.,-,L CN,-,,"14,287","$3,035,171",0.03%
LISTED EQUITY,-,-,-,-,"TKO GROUP HOLDINGS, INC.",-,TKO US,-,,"13,130","$3,013,740",0.03%
LISTED EQUITY,-,-,-,-,SCOR SE,-,SCR FP,-,,"76,104","$3,008,928",0.03%
LISTED EQUITY,-,-,-,-,BARCLAYS PLC,-,BARC LN,-,,"551,927","$2,993,691",0.03%
LISTED EQUITY,-,-,-,-,GIVAUDAN SA,-,GIVN SW,-,,422,"$2,984,355",0.03%
LISTED EQUITY,-,-,-,-,UNICREDIT SPA,-,UCG IM,-,,"46,074","$2,968,526",0.03%
LISTED EQUITY,-,-,-,-,"KE HOLDINGS, INC.",-,BEKE US,-,,"99,690","$2,965,829",0.03%
LISTED EQUITY,-,-,-,-,CHARLES SCHWAB CORP.,-,SCHW US,-,,"24,805","$2,965,030",0.03%
LISTED EQUITY,-,-,-,-,NORSK HYDRO ASA,-,NHY NO,-,,"332,389","$2,956,184",0.03%
LISTED EQUITY,-,-,-,-,"DUPONT DE NEMOURS, INC.",-,DD US,-,,"23,968","$2,951,624",0.03%
LISTED EQUITY,-,-,-,-,TARGA RESOURCES CORP.,-,TRGP US,-,,"10,226","$2,948,324",0.03%
LISTED EQUITY,-,-,-,-,CINTAS CORP.,-,CTAS US,-,,"9,940","$2,933,277",0.03%
LISTED EQUITY,-,-,-,-,"AUTODESK, INC.",-,ADSK US,-,,"6,139","$2,931,044",0.03%
LISTED EQUITY,-,-,-,-,MINERAL RESOURCES LTD.,-,MIN AU,-,,"85,293","$2,921,273",0.03%
LISTED EQUITY,-,-,-,-,BECTON DICKINSON & CO.,-,BDX US,-,,"7,916","$2,900,779",0.03%
LISTED EQUITY,-,-,-,-,INFRATIL LTD.,-,IFT AU,-,,"250,525","$2,898,575",0.03%
LISTED EQUITY,-,-,-,-,WEB TRAVEL GROUP LTD.,-,WEB AU,-,,"630,441","$2,893,721",0.03%
LISTED EQUITY,-,-,-,-,ENGIE SA,-,ENGI FP,-,,"112,952","$2,892,164",0.03%
LISTED EQUITY,-,-,-,-,NEXTDC LTD.,-,NXT AU,-,,"190,671","$2,873,416",0.03%
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML US,-,,"2,525","$2,826,011",0.03%
LISTED EQUITY,-,-,-,-,MCDONALD'S CORP.,-,MCD US,-,,"6,022","$2,819,392",0.03%
LISTED EQUITY,-,-,-,-,"NOMURA HOLDINGS, INC.",-,8604 JP,-,,"292,654","$2,800,951",0.03%
LISTED EQUITY,-,-,-,-,BANK OF NEW YORK MELLON CORP.,-,BK US,-,,"22,539","$2,796,745",0.03%
LISTED EQUITY,-,-,-,-,"VERISK ANALYTICS, INC.",-,VRSK US,-,,"6,271","$2,789,425",0.03%
LISTED EQUITY,-,-,-,-,AECOM,-,ACM US,-,,"16,146","$2,785,627",0.03%
LISTED EQUITY,-,-,-,-,GENERAL MOTORS CO.,-,GM US,-,,"32,045","$2,757,100",0.03%
LISTED EQUITY,-,-,-,-,"CBRE GROUP, INC.",-,CBRE US,-,,"12,948","$2,745,595",0.03%
LISTED EQUITY,-,-,-,-,"LEIDOS HOLDINGS, INC.",-,LDOS US,-,,"11,762","$2,736,737",0.03%
LISTED EQUITY,-,-,-,-,KROGER CO.,-,KR US,-,,"27,699","$2,735,655",0.03%
LISTED EQUITY,-,-,-,-,DOMINO'S PIZZA ENTERPRISES LTD.,-,DMP AU,-,,"92,659","$2,727,874",0.03%
LISTED EQUITY,-,-,-,-,U.S. BANCORP,-,USB US,-,,"35,272","$2,724,788",0.03%
LISTED EQUITY,-,-,-,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,CM CN,-,,"26,679","$2,724,393",0.03%
LISTED EQUITY,-,-,-,-,CAPSTONE COPPER CORP.,-,CSC AU,-,,"277,177","$2,719,105",0.03%
LISTED EQUITY,-,-,-,-,LENNAR CORP.,-,LEN US,-,,"12,282","$2,705,106",0.03%
LISTED EQUITY,-,-,-,-,"CGI, INC.",-,GIBA CN,-,,"15,252","$2,693,896",0.03%
LISTED EQUITY,-,-,-,-,"TEXAS INSTRUMENTS, INC.",-,TXN US,-,,"8,878","$2,688,837",0.03%
LISTED EQUITY,-,-,-,-,HALLIBURTON CO.,-,HAL US,-,,"60,942","$2,676,260",0.03%
LISTED EQUITY,-,-,-,-,DE GREY MINING LTD.,-,DEG AU,-,,"1,509,971","$2,665,100",0.03%
LISTED EQUITY,-,-,-,-,CANADIAN PACIFIC KANSAS CITY LTD.,-,CP CN,-,,"22,785","$2,663,164",0.03%
LISTED EQUITY,-,-,-,-,LINDE PLC,-,LIN US,-,,"3,926","$2,655,080",0.03%
LISTED EQUITY,-,-,-,-,BP PLC,-,BP LN,-,,"330,682","$2,628,756",0.03%
LISTED EQUITY,-,-,-,-,AON PLC,-,AON US,-,,"4,530","$2,627,637",0.03%
LISTED EQUITY,-,-,-,-,ZEBRA TECHNOLOGIES CORP.,-,ZBRA US,-,,"4,199","$2,619,131",0.03%
LISTED EQUITY,-,-,-,-,MANULIFE FINANCIAL CORP.,-,MFC CN,-,,"52,780","$2,617,510",0.03%
LISTED EQUITY,-,-,-,-,"MIZUHO FINANCIAL GROUP, INC.",-,8411 JP,-,,"65,717","$2,615,716",0.03%
LISTED EQUITY,-,-,-,-,ST. JAMES'S PLACE PLC,-,STJ LN,-,,"148,942","$2,615,081",0.03%
LISTED EQUITY,-,-,-,-,IDP EDUCATION LTD.,-,IEL AU,-,,"206,021","$2,602,042",0.02%
LISTED EQUITY,-,-,-,-,GARMIN LTD.,-,GRMN US,-,,"7,804","$2,599,504",0.02%
LISTED EQUITY,-,-,-,-,"SS&C TECHNOLOGIES HOLDINGS, INC.",-,SSNC US,-,,"21,163","$2,590,297",0.02%
LISTED EQUITY,-,-,-,-,"VEEVA SYSTEMS, INC.",-,VEEV US,-,,"7,615","$2,585,728",0.02%
