CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
MODERNA INC,US60770K1079        ,21928,1472641,0.00%
MOHAWK INDUSTRIES INC,US6081901042        ,7986,1536669,0.00%
MOLINA HEALTHCARE INC,US60855R1005        ,3334,1567036,0.00%
MOLSON COORS BEVERAGE CO,US60871R2094        ,12876,1192077,0.00%
MOLTEN VENTURES PLC,GB00BY7QYJ50        ,5937,38310,0.00%
MOMENTUM METROPOLI ZAR0.000001,ZAE000269890        ,128796,333584,0.00%
MONADELPHOUS GROUP LIMITED,AU000000MND5        ,42584,596171,0.00%
MONCLER SPA,IT0004965148        ,5062,431634,0.00%
MONDAY COM LTD,IL0011762130        ,29037,11041615,0.02%
MONDELEZ INTERNATIONAL INC,US6092071058        ,282810,27282926,0.05%
MONDI PLC ORD EUR0.22,GB00BMWC6P49        ,7525,181433,0.00%
MONGODB INC,US60937P1066        ,880,330928,0.00%
MONOLITHIC POWER SYSTEMS INC,US6098391054        ,5628,5378331,0.01%
MONOTARO CO LTD,JP3922950005        ,3960,108752,0.00%
MONSTER BEVERAGE SHS ORD,US61174X1090        ,30395,2580256,0.00%
MONY GROUP PLC,GB00B1ZBKY84        ,31375,121916,0.00%
MOODYS CORPORATION,US6153691059        ,5960,4556699,0.01%
MOONLAKE IMMUNOTHERAPEUTICS,KY61559X1045        ,52193,4564737,0.01%
MORGAN ADVANCED MATERIALS PLC,GB0006027295        ,16123,88710,0.00%
MORGAN SINDALL GROUP PLC,GB0008085614        ,1734,136821,0.00%
MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED,US6174464486        ,435115,88351175,0.17%
MORINAGA MILK IND NPV,JP3926800008        ,2269,68262,0.00%
MORNINGSTAR INC,US6177001095        ,1178,640907,0.00%
MOSAIC CO COM,US61945C1036        ,27072,1074729,0.00%
MOTOMOTION CHINA CORP,CNE100004RH6        ,162033,2215741,0.00%
MOTOR OIL HELLAS CORINTH REFINERIES SA,GRS426003000        ,1224,42252,0.00%
MOTOROLA SOLUTIONS INC,US6200763075        ,35521,26518599,0.05%
MOWI ASA,NO0003054108        ,5304,146890,0.00%
MPC CONTAINER SHIPS ASA,NO0010791353        ,7631,22496,0.00%
MR COOPER GROUP INC,US62482R1077        ,1447,224340,0.00%
MR PRICE GROUP,ZAE000200457        ,7602,192111,0.00%
MS & AD INSURANCE GROUP HOLDINGS,JP3890310000        ,269483,9551818,0.02%
MSCI INC,US55354G1004        ,7439,7209129,0.01%
MTR CORP,HK0066009694        ,17602,99180,0.00%
MTU AERO ENGINES AG,DE000A0D9PT0        ,877,472504,0.00%
MUELLER INDS INC COM USD0.01,US6247561029        ,12136,1555575,0.00%
MUELLER WATER PRODUCTS INC-A,US6247581084        ,14754,536147,0.00%
MUENCHENER RUECKVER RG-REG,DE0008430026        ,1912,1557590,0.00%
MULTI COMMODITY EXCHANGE OF INDIA LTD,INE745G01035        ,8096,952124,0.00%
MUNTERS GROUP AB,SE0009806607        ,2721,73993,0.00%
MURATA MANUFACTURING CO,JP3914400001        ,91863,2416330,0.00%
MUTOH HOLDINGS ORD SHS,JP3914000009        ,455,12188,0.00%
MYER HOLDINGS LTD,AU000000MYR2        ,202350,248890,0.00%
NAGASE & CO LTD,JP3647800006        ,14569,482853,0.00%
NAGOYA RAILROAD CO LTD,JP3649800004        ,4777,86029,0.00%
NANOSONICS LTD,AU000000NAN9        ,912643,2747057,0.01%
NARI TECHOLOGY CO LTD,CNE000001G38        ,32035,178768,0.00%
NASDAQ INC,US6311031081        ,43522,5434407,0.01%
NATIONAL AUSTRALIA BANK LIMITED,AU000000NAB4        ,12327959,457367294,0.87%
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+4.00% PERP NON-CUM RED T-06-26,AU0000039042        ,1864415,194756751,0.37%
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+3.15% PERP NON-CUM RED T-12-29,AU0000226961        ,2428512,255576629,0.48%
NATIONAL AUSTRALIA BANK LIMITED CAP NOTE 3-BBSW+3.50% PERP NON-CUM RED T-12-27,AU0000124042        ,214639,22515633,0.04%
NATIONAL AUSTRALIA BANK LIMITED,AU0000293813        ,139,14431,0.00%
NATIONAL BANK OF CANADA,CA6330671034        ,4086,601314,0.00%
NATWEST GROUP PLC ORD,GB00BM8PJY71        ,99085,805915,0.00%
NAVER CORP,KR7035420009        ,615,134186,0.00%
NCC GROUP PLC,GB00B01QGK86        ,12501,38082,0.00%
NEC CORPORATION,JP3733000008        ,2955,416594,0.00%
NEC ELECTRONICS CORP,JP3164720009        ,23134,486543,0.00%
NEMETSCHEK AG,DE0006452907        ,658,103033,0.00%
NEOGENOMICS INC,US64049M2098        ,70185,1868113,0.00%
NEOJAPAN INC,JP3758230001        ,20716,373427,0.00%
NESTE OYJ,FI0009013296        ,7145,144891,0.00%
NESTLE INDIA INR1 POST SUB,INE239A01024        ,40877,1673451,0.00%
NESTLE SA,CH0038863350        ,276206,36859993,0.07%
NETAPP INC,US64110D1046        ,24902,4668772,0.01%
NETEASE INC,KYG6427A1022        ,8185,235548,0.00%
NETEASE INC SPON ADS EACH REP 25 ORD SH,US64110W1027        ,21990,3168376,0.01%
NETFLIX INC,US64110L1061        ,96027,138240310,0.26%
NETWEALTH GROUP LTD,AU000000NWL7        ,73016,2099198,0.00%
NEUREN PHARMACEUTICALS LTD,NZNEUE0001S8        ,7818,97731,0.00%
NEUROCRINE BIOSCIENCES INC,US64125C1099        ,21468,4732977,0.01%
NEUSOFT CORP,CNE000000KJ6        ,766498,1826638,0.00%
NEW CARPHONE WAREHOUSE PLC,GB00B4Y7R145        ,39742,76289,0.00%
NEW GOLD INC,CA6445351068        ,35531,143248,0.00%
NEW YORK TIMES CO CLASS A COM USD0.10,US6501111073        ,19371,1628418,0.00%
NEWELL BRANDS INC,US6512291062        ,10371,166829,0.00%
NEWMONT CORP,US6516391066        ,44651,2684185,0.01%
NEWMONT CORPORATION,AU0000297962        ,1823946,108597753,0.21%
NEWS CORP,US65249B1098        ,24450,1087524,0.00%
NEWS CORP,US65249B2088        ,6211,305257,0.00%
NEWS CORPORATION CLASS B,AU000000NWS2        ,861619,42650157,0.08%
NEXANS SA,FR0000044448        ,776,135269,0.00%
NEXGEN ENERGY LTD,AU0000159329        ,155533,1681310,0.00%
NEXI SPA ORD,IT0005366767        ,6730,60326,0.00%
NEXON CO LTD,JP3758190007        ,3835,93655,0.00%
NEXT PLC,GB0032089863        ,42423,8150345,0.02%
NEXTDC LIMITED ORDINARY FULLY PAID,AU000000NXT8        ,7376434,111162865,0.21%
NGK INSULATORS LTD,JP3695200000        ,15315,316830,0.00%
NH FOODS LTD,JP3743000006        ,2209,115653,0.00%
NHI INVESTMENT AND SE PFD KRW5000,KR7005941000        ,2069,27597,0.00%
NHK SPRING CO LTD,JP3742600004        ,6001,123336,0.00%
NIB HOLDINGS LTD,AU000000NHF0        ,97911,536552,0.00%
NIBE INDUSTRIER AB SER B NPV,SE0015988019        ,17270,109156,0.00%
NICE  LTD,IL0002730112        ,846,232866,0.00%
NICHIAS CORPORATION,JP3660400007        ,1552,89310,0.00%
NICHIREI CORP,JP3665200006        ,2687,115034,0.00%
NICK SCALI FURNITURE,AU000000NCK1        ,1478709,22195426,0.04%
NICKEL INDUSTRIES LIMITED,AU0000018236        ,875296,722119,0.00%
NIDEC CORPORATION,JP3734800000        ,10058,295112,0.00%
NIKE INC CL B,US6541061031        ,79460,9711226,0.02%
NIKON CORPORATION JPY,JP3657400002        ,6896,116195,0.00%
NILFISK HOLDING AS,DK0060907293        ,1515,35480,0.00%
NILORNGRUPPEN ABB SHS,SE0007100342        ,1116,10736,0.00%
NINE ENTERTAINMENT CO HOLDINGS PTY LIMITED,AU000000NEC4        ,258788,319603,0.00%
NINETY ONE PLC ORD GBP0.0001,GB00BJHPLV88        ,10992,32417,0.00%
NINTENDO CO LTD,JP3756600007        ,130997,12471642,0.02%
NIPPON EXPRESS HOLDINGS ORD SHS,JP3688370000        ,6448,158585,0.00%
NIPPON KAYAKU CO LTD,JP3694400007        ,25824,340758,0.00%
NIPPON LIGHT METAL HOLDINGS CO LTD,JP3700200003        ,3672,58832,0.00%
NIPPON PAINT HOLDINGS CO LTD,JP3749400002        ,10813,113731,0.00%
NIPPON SANSO HOLDINGS CORP,JP3711600001        ,70606,3210106,0.01%
NIPPON SHINYAKU CO LTD,JP3717600005        ,1314,53850,0.00%
NIPPON SHOKUBAI JP50,JP3715200006        ,24450,481192,0.00%
NIPPON STEEL CORPORATION,JP3381000003        ,12761,417309,0.00%
NIPPON YUSEN KK NPV,JP3753000003        ,6291,340915,0.00%
NIPRO CORP,JP3673600007        ,2836,43633,0.00%
NISHI NIPPON FINAN NPV,JP3658850007        ,46333,965186,0.00%
NISSAN CHEMICAL CORPORATION,JP3670800006        ,11851,602741,0.00%
NISSAN MOTOR CO,JP3672400003        ,26717,131793,0.00%
NISSIN FOOD HOLDINGS CO LTD,JP3675600005        ,2263,88914,0.00%
NISSUI CORPORATION,JP3718800000        ,6986,64570,0.00%
NITORI CO LTD,JP3756100008        ,16967,3249294,0.01%
NITTO DENKO CORPORATION,JP3684000007        ,90942,2504736,0.00%
NKT AS DKK20,DK0010287663        ,1350,155739,0.00%
NMI HOLDINGS INC,US6292093050        ,1822,108157,0.00%
NMS HOLDINGS CO,JP3750800009        ,7478,29204,0.00%
NN GROUP NV,NL0010773842        ,3858,271475,0.00%
NOBLEOAK LIFE LIMITED ORDINARY FULLY PAID,AU0000161580        ,4002631,6344170,0.01%
NOHO PARTNERS OYJ,FI4000064332        ,1422,18881,0.00%
NOK CORP,JP3164800009        ,10479,266639,0.00%
NOKIA OYJ,FI0009000681        ,84393,603316,0.00%
NOKIA OYJ NPV,FI0009000681        ,25671,182984,0.00%
NOMURA HOLDINGS INC,JP3762600009        ,309756,2964636,0.01%
NOMURA RESEARCH INSTITUTE LTD,JP3762800005        ,5335,255422,0.00%
NORCONSULT ORD SHS,NO0013052209        ,16047,100980,0.00%
NORDEA BANK ABP,FI4000297767        ,45016,790580,0.00%
NORDSON CORP,US6556631025        ,3508,1185572,0.00%
NORFOLK SOUTHERN CORP USD,US6558441084        ,18387,6969954,0.01%
NORITAKE CO LTD,JP3763000001        ,4359,177832,0.00%
NORSK HYDRO ASA,NO0005052605        ,1310778,11657732,0.02%
NORTH WEST CO INC VAR VTG AND COM VTG,CA6632782083        ,1221,67340,0.00%
NORTHERN STAR RESOURCES LTD,AU000000NST8        ,9502941,146725403,0.28%
NORTHERN TRUST CORP,US6658591044        ,10854,1796934,0.00%
NORTHROP GRUMMAN CORP,US6668071029        ,5017,3802973,0.01%
NORTONLIFELOCK,US6687711084        ,71353,3155372,0.01%
NORWEGIAN CRUISE LINE HOLDINGS LTD,BMG667211046        ,36850,1531365,0.00%
NOVA LTD,IL0010845571        ,982,312727,0.00%
NOVARTIS  ADR SPONSORED,US66987V1098        ,73501,11552011,0.02%
NOVARTIS AG,CH0012005267        ,216185,34174822,0.06%
NOVO NORDISK ORD SHS CLASS B,DK0062498333        ,583928,81744393,0.15%
NOVOZYMES A S,DK0060336014        ,4240,387644,0.00%
NRW HOLDINGS LTD,AU000000NWH5        ,173312,665520,0.00%
NS SOLUTIONS CORP NPV,JP3379900008        ,5165,216132,0.00%
NS UNITED KAIUN KAISHA LTD,JP3385000009        ,37437,1560105,0.00%
NSK LTD JPY,JP3720800006        ,125536,886186,0.00%
NTT DATA GROUP CORPORATION,JP3165700000        ,7606,236859,0.00%
NU HOLDINGS LTD,KYG6683N1034        ,1717858,28744256,0.05%
NUCOR CORP,US6703461052        ,10440,1968031,0.00%
NUFARM LIMITED,AU000000NUF3        ,737399,2610392,0.00%
NUIX LIMITED,AU0000119307        ,365474,2309793,0.00%
NUSCALE POWER ORD SHS CLASS A,US67079K1007        ,34724,1005561,0.00%
NUTANIX INC,US67059N1081        ,3017,298163,0.00%
NUTRIEN LTD COM NPV,CA67077M1086        ,7183,518875,0.00%
NUVALENT INC,US6707031075        ,26429,3341392,0.01%
NUVISTA ENERGY LTD,CA67072Q1046        ,3993,61971,0.00%
NVIDIA CORP,US67066G1040        ,4199996,910954530,1.72%
NVR INC,US62944T1051        ,154,2030219,0.00%
NXP SEMICONDUCTORS,NL0009538784        ,27283,9159129,0.02%
OBAYASHI CORPORATION,JP3190000004        ,7418,159556,0.00%
OBIC BUSINESS CONSULTANTS CO LTD,JP3173500004        ,2120,151089,0.00%
OBIC CO LTD,JP3173400007        ,4605,222093,0.00%
OBJECTIVE CORPORATION LTD,AU000000OCL7        ,19232,305402,0.00%
OBSIDIAN ENERGY LT COM NPV,CA6744822033        ,8710,81772,0.00%
OCCIDENTAL PETROLEUM CORP,US6745991058        ,29255,2334609,0.00%
OCEANAGOLD CORP,CA6752221037        ,18187,81288,0.00%
OFG BANCORP COM USD1,PR67103X1020        ,6338,433194,0.00%
OFX GROUP LIMITED,AU000000OFX5        ,306100,433132,0.00%
OIL REFINERIES LTD,IL0025902482        ,466401,194337,0.00%
OKAMURA CORP,JP3192400004        ,36053,764378,0.00%
OKANO VALVE MFG ORD SHS,JP3191600000        ,7276,554081,0.00%
OKTA INC,US6792951054        ,149365,19009872,0.04%
OLBA HEALTHCARE HOLDINGS ORD SHS,JP3226700007        ,1870,38080,0.00%
OLD DOMINION FREIGHT LINE INC,US6795801009        ,36751,10470473,0.02%
OLD REPUBLIC INTL CORP,US6802231042        ,14438,843901,0.00%
OLYMPUS CORP,JP3201200007        ,14144,344575,0.00%
OMNI BRIDGEWAY LIMITED ORDINARY FULLY PAID,AU0000082489        ,8748,12685,0.00%
OMNICOM GROUP,US6819191064        ,10994,1527760,0.00%
OMRON CORP,JP3197800000        ,2012,110665,0.00%
OMV AG,AT0000743059        ,1678,104819,0.00%
ON SEMICONDUCTOR CORPORATION,US6821891057        ,49630,5054015,0.01%
ONEMAIN HOLDINGS INC,US68268W1036        ,2830,238289,0.00%
ONESPAN INC COM USD0,US68287N1000        ,15424,461872,0.00%
ONEX CORP,CA68272K1030        ,754,95119,0.00%
ONO PHARMACEUTICAL CO LTD,JP3197600004        ,4275,71805,0.00%
OOHIMEDIA LIMITED,AU000000OML6        ,2201693,2597998,0.00%
OPEN TEXT CORP,CA6837151068        ,4918,224671,0.00%
ORACLE CORP,US68389X1054        ,168539,45361065,0.09%
ORACLE CORPORATION JAPAN,JP3689500001        ,440,68535,0.00%
OREILLY AUTOMOTIVE INC,US67103H1077        ,6121,11723117,0.02%
ORICA LIMITED,AU000000ORI1        ,524252,8692093,0.02%
ORIENTAL LAND CO LTD,JP3198900007        ,13138,462049,0.00%
ORION OYJ,FI0009014377        ,1230,87976,0.00%
ORIX CORPORATION,JP3200450009        ,98296,3442675,0.01%
ORKLA ASA,NO0003733800        ,7988,111723,0.00%
ORORA LIMITED ORDINARY,AU000000ORA8        ,4489927,11045220,0.02%
ORSTED AS,DK0060094928        ,2023,147087,0.00%
ORUKA THERAPEUTICS INC,US6876041087        ,26097,817269,0.00%
OSB GROUP PLC ORD GBP3.04,GB00BLDRH360        ,12804,104793,0.00%
OSISKO GOLD ROYALTIES LTD,CA68827L1013        ,50323,1471105,0.00%
OSK MITSUI OSK LINES LTD,JP3362700001        ,4907,277757,0.00%
OTIS WORLDWIDE COR COM,US68902V1070        ,16642,2489210,0.00%
OTP BANK RT,HU0000061726        ,954,84168,0.00%
OTSUKA CORPORATION,JP3188200004        ,2577,95594,0.00%
OTSUKA HLDGS CO NPV,JP3188220002        ,25858,2285336,0.00%
OVERSEA-CHINESE BANKING CORP,SG1S04926220        ,49426,976655,0.00%
OVINTIV INC,US69047Q1022        ,3143,205602,0.00%
OWENS CORNING INC,US6907421019        ,1069,293980,0.00%
OXFORD INDUSTRIES INC,US6914973093        ,359,45735,0.00%
OXFORD INSTRUMENTS PLC,GB0006650450        ,2095,91319,0.00%
OXFORD NANOPORE TECHNOLOGIES PLC,GB00BP6S8Z30        ,21928,57129,0.00%
PACCAR INC,US6937181088        ,19257,3235241,0.01%
PACIFIC BASIN SHIPPING LTD,BMG684371393        ,127775,43570,0.00%
PACIFIC TEXTILES HOLDINGS,KYG686121032        ,5423754,1747952,0.00%
PACKAGING CORP OF AMERICA,US6951561090        ,4653,1691921,0.00%
PAGEGROUP PLC ORD,GB0030232317        ,11139,77417,0.00%
PALANTIR TECHNOLOGIES INC,US69608A1088        ,65224,7967191,0.02%
PALO ALTO NETWORKS INC,US6974351057        ,21010,6174565,0.01%
PAN AMERICAN SILVER CORP,CA6979001089        ,4149,135495,0.00%
PAN PACIFIC INTL H NPV,JP3639650005        ,4589,203547,0.00%
PANASONIC HOLDINGS CORP,JP3866800000        ,33848,571519,0.00%
PANDORA,DK0060252690        ,35365,10445755,0.02%
PANDORA AS SPONSORED ADR,US6983412031        ,2295,172397,0.00%
PANTORO LTD,AU000000PNR8        ,11988,1079,0.00%
PARADE TECHNOLOGIES LTD,KYG6892A1085        ,142682,5391367,0.01%
PARADOX INTERACTIVE AB,SE0008294953        ,1982,59514,0.00%
PARAGON BANKING GR ORD GBP1,GB00B2NGPM57        ,12438,187059,0.00%
PARAMOUNT GLOBAL,US92556H2067        ,68813,1162533,0.00%
PARKER HANNIFIN CORP,US7010941042        ,4450,4571109,0.01%
PARKLAND CORP,CA70137W1086        ,1572,57377,0.00%
PARTNERS GROUP,CH0024608827        ,273,598067,0.00%
PAYCHEX INC,US7043261079        ,12773,2892717,0.01%
PAYCOM SOFTWARE INC,US70432V1026        ,3535,1170320,0.00%
PAYPAL HOLDINGS INC,US70450Y1038        ,36055,4970136,0.01%
PB FINTECH LTD,INE417T01026        ,50347,2002989,0.00%
PEGASYSTEMS INC,US7055731035        ,3841,578140,0.00%
PENTAIR PLC COM,IE00BLS09M33        ,9315,1514065,0.00%
PENUMBRA INC,US70975L1070        ,11975,4593180,0.01%
PEPSICO INC CAP 2/3,US7134481081        ,151737,37265845,0.07%
PER AARSLEFF HLDNG DKK2 B,DK0060700516        ,425,47795,0.00%
PERENTI LTD,AU0000061897        ,406107,566520,0.00%
PERIMETER SOLUTIONS INC,US71385M1071        ,2608,53839,0.00%
PERNOD-RICARD SA,FR0000120693        ,2438,444529,0.00%
PERPETUAL TRUSTEES AUSTRALIA LIMITED,AU000000PPT9        ,25881,514775,0.00%
PERSEUS MINING LTD,AU000000PRU3        ,116543,299516,0.00%
PERSIMMON PLC,GB0006825383        ,3643,88279,0.00%
PERSISTENT SYSTEMS ORD SHS,INE262H01021        ,15848,1930636,0.00%
PERSOL HOLDINGS CO NPV,JP3547670004        ,43676,106155,0.00%
PETER WARREN AUTOMOTIVE HOLDINGS LIMITED ORDINARY FULLY PAID,AU0000143711        ,7754082,11631122,0.02%
PETERSHILL PARTNERS PLC,GB00BL9ZF303        ,9871,49517,0.00%
PETROCHINA CO LTD H,CNE1000003W8        ,46486,59055,0.00%
PETROLEO BRASILEIRO PETROBRAS SA,BRPETRACNPR6        ,19251,182142,0.00%
PETROLEO BRASILRIRO SA,BRPETRACNOR9        ,8084,83296,0.00%
PETS AT HOME GROUP PLC,GB00BJ62K685        ,17027,70812,0.00%
PFIZER INC COM,US7170811035        ,183116,7846351,0.01%
PHARMARON BEIJING CO LTD,CNE100003PG4        ,239855,703180,0.00%
PHILLIPS COM,US7185461040        ,15985,2941359,0.01%
PHOENIX GP HLDGS ORD,GB00BGXQNP29        ,6676,68872,0.00%
PHOENIX FINANCIAL LTD,IL0007670123        ,4418,104141,0.00%
PHOTO ME INTERNATIONAL PLC,GB0008481250        ,13192,54704,0.00%
PI INDUSTRIES LTD,INE603J01030        ,46158,3209371,0.01%
PIDILITE INDUSTRIES LTD,INE318A01026        ,68155,3734181,0.01%
PIERRE ET VACANCES SA,FR0000073041        ,32071,81207,0.00%
PILBARA MINERALS LTD,AU000000PLS0        ,24322883,53267113,0.10%
PILGRIMS PRIDE CORP,US72147K1088        ,3584,262742,0.00%
PINEWOOD TECHNOLOGIES GROUP ORD SHS,GB00BSB7BS06        ,8264,60013,0.00%
PINNACLE INVESTMENT MANAGEMENT GROUP LTD,AU000000PNI7        ,151285,3456853,0.01%
PINTEREST INC,US72352L1061        ,7292,341554,0.00%
PJT PARTNERS INC,US69343T1079        ,11955,3047049,0.01%
PLANET FITNESS INC,US72703H1014        ,2209,352780,0.00%
PLATINUM ASSET MANAGEMENT LTD,AU000000PTM6        ,52521,36240,0.00%
PLEXUS CORP,US7291321005        ,2024,511484,0.00%
PLIANT THERAPEUTICS INC,US7291391057        ,86119,1831838,0.00%
PLOVER BAY TECHNOLOGIES LTD,KYG713321035        ,149562,139626,0.00%
PLUS500 LTD,IL0011284465        ,4074,223185,0.00%
PLUSZERO INC,JP3832750008        ,5508,155255,0.00%
POLYNOVO LIMITED,AU000000PNV0        ,259663,529712,0.00%
POOL CORPORATION,US73278L1052        ,2455,1351875,0.00%
POP MART INTERNATIONAL GROUP LTD,KYG7170M1033        ,84786,1580411,0.00%
POPULAR INC COM USD6 POST REV SPLIT,PR7331747001        ,1806,274344,0.00%
PORSCHE AUTOMOBIL HOLDING SE,DE000PAH0038        ,1745,106091,0.00%
PORTO SEGURO SA,BRPSSAACNOR7        ,19453,185885,0.00%
POSTAL SAVINGS BANK OF CHINA CO LTD,CNE1000029W3        ,1712892,1631147,0.00%
POSTS ITALIANE SPA,IT0003796171        ,5210,118666,0.00%
POWELL INDUSTRIES INC,US7391281067        ,225,80477,0.00%
POWER CORP OF CANADA CAD,CA7392391016        ,6789,341880,0.00%
POWSZECHNA KASA OS,PLPKO0000016        ,1944,45421,0.00%
PPG INDUSTRIES INC,US6935061076        ,10858,2094740,0.00%
PPHE HOTEL GROUP LTD,GG00B1Z5FH87        ,1692,48258,0.00%
PRADA SPA,IT0003874101        ,822946,10292115,0.02%
PRAEMIUM LTD,AU000000PPS1        ,197774,145364,0.00%
PRAXIS PRECISION MEDICINES I,US74006W2070        ,10522,1307830,0.00%
PREMIER FOODS PLC,GB00B7N0K053        ,30755,116705,0.00%
PREMIER INVESTMENTS LIMITED,AU000000PMV2        ,589172,18930100,0.04%
PRESIDENT SECURITIES CORP,TW0002855004        ,339142,430224,0.00%
PRIMORIS SERVICE CORP,US74164F1030        ,1263,155863,0.00%
PRINCIPAL FINANCIAL GROUP,US74251V1026        ,12577,1572474,0.00%
PRO MEDICUS LTD,AU000000PME8        ,7343,1836730,0.00%
PROCORE TECHNOLOGIES INC,US74275K1088        ,2561,309992,0.00%
PROCTER & GAMBLE COMPANY,US7427181091        ,258915,70107538,0.13%
PROG HOLDINGS INC,US74319R1014        ,1008,68792,0.00%
PROGRESS SOFTWARE CORPORATION,US7433121008        ,2239,235604,0.00%
PROGRESSIVE CORP,US7433151039        ,34871,13495187,0.03%
PROPEL FUNERAL PARTNERS LIMITED ORDINARY FULLY PAID,AU000000PFP8        ,292990,1719853,0.00%
PROSPERITY BANCSHARES INC,US7436061052        ,2347,285570,0.00%
PROSUS NV,NL0013654783        ,16460,1055694,0.00%
PRUDENTIAL FINANCIAL INC,US7443201022        ,14447,2765652,0.01%
PRUDENTIAL PLC,GB0007099541        ,369466,4752107,0.01%
PRYSMIAN SPA,IT0004176001        ,4555,469748,0.00%
PT BANK NEGARA IND LKD SHS IDR7500 AND IDR375,ID1000096605        ,12879825,5622279,0.01%
PTC INC,US69370C1009        ,14362,4265189,0.01%
PTC THERAPEUTICS INC,US69366J2006        ,32979,2404361,0.00%
PTT PUBLIC COMPANY THB1 ALIEN,TH0646010Z18        ,23192,34882,0.00%
PUBLICIS GROUPE,FR0000130577        ,72920,12561441,0.02%
PULTE GROUP INC,US7458671010        ,10485,1844184,0.00%
PUMA SE,DE0006969603        ,21324,1582020,0.00%
PURE STORAGE INC,US74624M1027        ,3772,374227,0.00%
PVH CORP COM USD1.00,US6936561009        ,1705,291206,0.00%
PWR HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000PWH0        ,255707,2009854,0.00%
Q2 HOLDINGS INC,US74736L1098        ,6371,1035608,0.00%
QANTAS AIRWAYS LIMITED,AU000000QAN2        ,397177,3562674,0.01%
QBE INSURANCE GROUP LTD,AU000000QBE9        ,12283355,235840417,0.45%
QIAGEN NV ORD EUR0.01 POST REV SPLT,NL0015001WM6        ,6172,444305,0.00%
QORVO INC,US74736K1016        ,1572,177503,0.00%
QUADIENT SAS,FR0000120560        ,13106,411192,0.00%
QUALCOMM INC,US7475251036        ,112739,27972188,0.05%
QUALITAU ORD SHS,IL0010839558        ,1709,186492,0.00%
QUANTA COMPUTER INC,TW0002382009        ,5558,78585,0.00%
QUANTA SERVICES INC,US74762E1029        ,5715,2917448,0.01%
QUARTERHILL INC,CA7477131055        ,29572,54464,0.00%
QUECTEL WIRELESS SOLUTIONS ORD SHS A,CNE100003N01        ,353018,5346050,0.01%
QUEST DIAGNOSTICS,US74834L1008        ,6383,1555190,0.00%
QUILTER PLC ORD GBP 0.08167,GB00BNHSJN34        ,351807,1097327,0.00%
RADIAN GROUP INC,US7502361014        ,3777,193508,0.00%
RAIFFEISEN INTL BANK HOLDING,AT0000606306        ,32538,1074759,0.00%
RAKUS CO LTD,JP3967170006        ,97533,1862345,0.00%
RAKUTEN BANK ORD,JP3967220009        ,7117,323294,0.00%
RAKUTEN GROUP INC,JP3967200001        ,18105,159807,0.00%
RALPH LAUREN CORP COM,US7512121010        ,3280,1223744,0.00%
RAMELIUS RESOURCES LIMITED,AU000000RMS4        ,84015,173910,0.00%
RANDSTAD NV,NL0000379121        ,1237,84190,0.00%
RASPBERRY PI HOLDINGS PLC,GB00BS3DYQ52        ,2116,26754,0.00%
RATHBONE BROTHERS PLC,GB0002148343        ,2226,74760,0.00%
RATIONAL AG,DE0007010803        ,58,80568,0.00%
RAYMOND JAMES FINL,US7547301090        ,8551,2145276,0.00%
RB GLOBAL INC COM NPV,CA74935Q1072        ,2200,320572,0.00%
REA GROUP LTD,AU000000REA9        ,233282,54427102,0.10%
REC LTD,INE020B01018        ,147186,1390284,0.00%
RECKITT BENCKISER GROUP PLC,GB00B24CGK77        ,8317,813061,0.00%
RECORDATI SPA - NEW,IT0003828271        ,1191,100812,0.00%
RECRUIT HLDGS CO LNPV,JP3970300004        ,122749,14059227,0.03%
RED ROCK RESORTS INC,US75700L1089        ,1188,88760,0.00%
RED VIOLET INC,US75704L1044        ,4472,261448,0.00%
REDDE NORTHGATE PLC,GB00B41H7391        ,11502,74798,0.00%
REECE LIMITED,AU000000REH4        ,949475,21249259,0.04%
REGENERON PHARMACEUTICALS INC,US75886F1075        ,3708,4265891,0.01%
REGIS RESOURCES LTD,AU000000RRL8        ,247391,630847,0.00%
RELIANCE INC,US7595091023        ,22939,9975901,0.02%
RELIANCE INDUSTRIES LIMITED,INE002A01018        ,459778,10542560,0.02%
RELIANCE WORLDWIDE CORPORATION AUST PTY LTD,AU000000RWC7        ,6835614,34314782,0.06%
RELX PLC,GB00B2B0DG97        ,23403,1717645,0.00%
RENAULT SA,FR0000131906        ,83759,6590947,0.01%
RENAULT SA,US7596734035        ,3838,59510,0.00%
RENEWI PLC ORD GBP1,GB00BNR4T868        ,3775,61775,0.00%
RENGO CO LTD,JP3981400009        ,158123,1423515,0.00%
RENISHAW PLC,GB0007323586        ,1271,87042,0.00%
RENT-A-CENTER INC,US76009N1000        ,1095,51577,0.00%
RENTOKIL INITIAL PLC,GB00B082RF11        ,30374,246254,0.00%
REPLIGEN CORPORATION,US7599161095        ,54085,12573783,0.02%
REPSOL SA,ES0173516115        ,16887,330152,0.00%
REPUBLIC SERVICES INC,US7607591002        ,8905,2893432,0.01%
RESMED INC,AU000000RMD6        ,2538369,93335832,0.18%
RESMED INC,US7611521078        ,6256,2310543,0.00%
