FIRST QUANTUM MINERALS LTD,CA3359341052        ,518,10771,0.00%
FIRST SOLAR INC,US3364331070        ,2120,603382,0.03%
FIRSTGROUP PLC,GB0003452173        ,68907,223989,0.01%
FIRSTRAND LTD,ZAE000066304        ,4141,26924,0.00%
FISERV INC COM,US3377381088        ,7489,2484774,0.11%
FISHER & PAYKEL HEALTHCARE CORPORATION LTD,NZFAPE0001S2        ,427,14835,0.00%
FIVERR INTERNATIONAL LTD,IL0011582033        ,3896,199657,0.01%
FLEX LTD COM,SG9999000020        ,7731,479351,0.02%
FLOWERS FOODS INC,US3434981011        ,2542,84828,0.00%
FLUIDRA SA,ES0137650018        ,11544,454097,0.02%
FLUTTER ENTERTAINM ORD,IE00BWT6H894        ,1504,630207,0.03%
FLUTTER ENTERTAINMENT ORD SHS,IE00BWT6H894        ,128,53616,0.00%
FMC CORP,US3024913036        ,4310,338402,0.01%
FOOD & LIFE COMPANIES LTD,JP3397150008        ,1405,48298,0.00%
FOOT LOCKER INC,US3448491049        ,935,32872,0.00%
FORD MOTOR COMPANY,US3453708600        ,31159,498222,0.02%
FORESIGHT GROUP HOLDINGS LTD,GG00BMD8MJ76        ,9058,75301,0.00%
FORTESCUE METALS GROUP LTD,AU000000FMG4        ,16054,292986,0.01%
FORTINET INC COM,US34959E1091        ,18106,2762841,0.12%
FORTIVE CORP,US34959J1088        ,3830,463974,0.02%
FORTNOX AB,SE0017161243        ,2220,23398,0.00%
FORTUNA MINING COR COM NPV,CA3499421020        ,4158,28810,0.00%
FORTUNE BRANDS HOME AND SECURITY,US34964C1062        ,91,10080,0.00%
FOSCHINI GP ZAR,ZAE000148466        ,3625,52126,0.00%
FOSSIL GROUP INC,US34988V1061        ,7748,20898,0.00%
FOX CORP,US35137L1052        ,3775,296226,0.01%
FOX CORP COM,US35137L2043        ,2420,178750,0.01%
FOXSEMICON INTEGRATED TECHNOLOGY INC,TW0003413001        ,21282,318727,0.01%
FRANCO NEVADA CORP,CA3518581051        ,443,84097,0.00%
FRANKLIN RESOURCES INC,US3546131018        ,11054,362251,0.02%
FRASERS GROUP PLC,GB00B1QH8P22        ,15770,194268,0.01%
FREAKOUT HOLDINGS INC,JP3826550000        ,917,5907,0.00%
FREEPORT  MCMORAN INC,US35671D8570        ,54367,3343754,0.14%
FRESENIUS MEDICAL CARE AG & CO,DE0005785802        ,142,10465,0.00%
FRESENIUS SE CO KGAA,DE0005785604        ,308,17260,0.00%
FRESHWORKS ORD SHS CLASS A,US3580541049        ,1667,43528,0.00%
FRONTDOOR INC,US35905A1097        ,2872,253580,0.01%
FTAC OLYMPUS ACQUISITION CORP,US70451X1046        ,3191,51752,0.00%
FUFENG GROUP LTD,KYG368441195        ,16062,18301,0.00%
FUJI ELECTRIC CO LTD,JP3820000002        ,88,7698,0.00%
FUJI FILM HOLDINGS CORP,JP3814000000        ,17454,593530,0.03%
FUJIAN ANJOY FOODS CO LTD,CNE100002YQ7        ,28683,517131,0.02%
FUJIAN FOXIT SOFTWARE DEVELOPMENT JOINT STOCK ORD SHS A,CNE100004348        ,12107,179919,0.01%
FUJIKURA LIMITED,JP3811000003        ,228,15366,0.00%
FUJITSU JPY,JP3818000006        ,19924,573231,0.02%
FUKUDA DENSHI CO LTD,JP3806000000        ,54,4000,0.00%
FURUKAWA ELECTRIC NPV,JP3827200001        ,6063,416557,0.02%
FUTU HOLDINGS LTD,US36118L1061        ,38,4917,0.00%
FUTURE PLC,GB00BYZN9041        ,11041,207039,0.01%
G-III APPAREL GROUP LIMITED,US36237H1014        ,9637,507745,0.02%
GALAXY ENTERTAINMENT GROUP LIMITED,HK0027032686        ,159871,1096939,0.05%
GALDERMA GROUP N ORD SHS,CH1335392721        ,55,9918,0.00%
GALP ENERGIA SGPS SA-B SHRS,PTGAL0AM0009        ,339,9030,0.00%
GAMEVIL INC,KR7063080006        ,822,30440,0.00%
GAP INC COM STK USD0.05,US3647601083        ,46285,1766462,0.08%
GARMIN ORD,CH0114405324        ,1400,466353,0.02%
GARTNER INC CL-A,US3666511072        ,2272,1777793,0.08%
GE AEROSPACE,US3696043013        ,11003,2963962,0.13%
GE HEALTHCARE HOLDING LLC,US36266G1076        ,3843,485238,0.02%
GE VERNOVA ORS SHS,US36828A1016        ,1293,687113,0.03%
GEA GROUP AG,DE0006602006        ,107,8559,0.00%
GEBERIT AG-REG,CH0030170408        ,24,22338,0.00%
GEELY AUTOMOBILE HOLDINGS LIMITED,KYG3777B1032        ,50141,154504,0.01%
GENERAC HOLDINGS INC,US3687361044        ,3815,955429,0.04%
GENERAL DYNAMICS CORP,US3695501086        ,1446,615458,0.03%
GENERAL INTERFACE SOLUTION HOLDING LTD,KYG3808R1011        ,67593,168496,0.01%
GENERAL MILLS INC,US3703341046        ,4812,495591,0.02%
GENERAL MOTORS CO,US37045V1008        ,8809,757940,0.03%
GENERALI,IT0000062072        ,2162,98591,0.00%
GENESCO INC,US3715321028        ,2064,142535,0.01%
GENMAB AS,DK0010272202        ,46,15325,0.00%
GENTERA SAB DE CV,MX01GE0E0004        ,192021,362449,0.02%
GENTING SINGAPORE LTD,SGXE21576413        ,4171,3778,0.00%
GENUINE PARTS CO USD,US3724601055        ,2213,417384,0.02%
GENUIT GROUP PLC,GB00BKRC5K31        ,26833,211408,0.01%
GENUS PLC,GB0002074580        ,6411,201008,0.01%
GENWORTH FINANCIAL-A,US37247D1063        ,4878,55069,0.00%
GEORGE WESTON LTD,CA9611485090        ,42,10509,0.00%
GERON CORP,US3741631036        ,24593,140609,0.01%
GETINGE AB-B,SE0000202624        ,158,4187,0.00%
GFL ENVIRONMENTAL INC,CA36168Q1046        ,152,10955,0.00%
GILDAN ACTIVEWEAR INC,CA3759161035        ,107,8096,0.00%
GILEAD SCIENCES INC,US3755581036        ,7234,1079238,0.05%
GIVAUDAN - REG,CH0010645932        ,7,47613,0.00%
GJENSIDIGE FORSIKR NOK,NO0010582521        ,108,3075,0.00%
GLOBAL E ONLINE ORD,IL0011741688        ,29468,2595301,0.11%
GLOBAL PAYMENTS INC,US37940X1028        ,2815,509452,0.02%
GLOBE LIFE INC,US37959E1029        ,5060,911458,0.04%
GLOBUS MEDICAL INC,US3795772082        ,5864,783415,0.03%
GMO INTERNET GROUP INC,JP3152750000        ,763,21013,0.00%
GODADDY INC,US3802371076        ,4177,1331392,0.06%
GODREJ CONSUMER PRODUCTS LTD,INE102D01028        ,1626,33195,0.00%
GOKURAKUYU HOLDINGS CO LTD,JP3387850005        ,2975,14093,0.00%
GOLD ROAD RESOURCES LTD,AU000000GOR5        ,92105,188814,0.01%
GOLDEN AGRI-RESOURCE LTD,MU0117U00026        ,65626,20590,0.00%
GOLDEN OCEAN GROUP LTD,BMG396372051        ,16367,232055,0.01%
GOLDMAN SACHS GROUP INC.,US38141G1040        ,3183,2943657,0.13%
GOODWIN ORD SHS,GB0003781050        ,522,82981,0.00%
GOOSEHEAD INSURANCE INC,US38267D1090        ,257,44457,0.00%
GPE BRUXELLES LAM NPV,BE0003797140        ,61,6710,0.00%
GRAB HOLDINGS LTD,KYG4124C1096        ,3173,24187,0.00%
GRACO INC,US3841091040        ,122,16580,0.00%
GRAFTON GROUP UT 1 ORD 1C ORD AND 17A ORD,IE00B00MZ448        ,21626,419824,0.02%
GRAINGER W W INC,US3848021040        ,301,512418,0.02%
GRANITE CONSTRUCTION INC,US3873281071        ,474,67199,0.00%
GREAT WALL MOTOR COMPANY H,CNE100000338        ,198412,563530,0.02%
GREAT WEST LIFECO,CA39138C1068        ,194,10391,0.00%
GREATLAND GOLD PLC,GB00B15XDH89        ,276931,35627,0.00%
GREENCORE GROUP PLC,IE0003864109        ,53874,211194,0.01%
GREGGS PLC,GB00B63QSB39        ,12922,728225,0.03%
GRIFFON CORPORATION,US3984331021        ,406,46792,0.00%
GRIFOLS SA,ES0171996087        ,161,2456,0.00%
GRUPO CATALANA OCCIDENTE SA,ES0116920333        ,431,25885,0.00%
GSK PLC,GB00BN7SWP63        ,3019,82235,0.00%
GUANGDONG LINGXIAO PUMP INA,CNE100002MZ3        ,38740,156610,0.01%
GUANGDONG TCL SMART HOME APPLIANCES ORD SHS A,CNE100001D05        ,19702,57198,0.00%
GUANGDONG VANWARD NEW ELECTRIC ORD SHS A,CNE100000ZT2        ,50018,113332,0.00%
GUANGSHEN RAILWAY CO LTD,CNE100000379        ,224886,100998,0.00%
GUANGZHO GUANGRI STOCK ORD SHS A,CNE000000JS9        ,97541,315113,0.01%
GUANGZHOU AUTOMOBILE GROUP,CNE100000Q35        ,462494,327913,0.01%
GUIDEWIRE SOFTWARE INC,US40171V1008        ,5765,1569595,0.07%
GUODIAN NANJING AUTOMATION ORD SHS A,CNE0000010S3        ,146880,218403,0.01%
GUOSHENG FINANCIAL HOLDING INC,CNE100001D21        ,93346,270371,0.01%
GUOTAI JUNAN SECURITIES CO LTD,CNE1000022F3        ,33546,138434,0.01%
H & R BLOCK INCORPORATED,US0936711052        ,8519,727050,0.03%
H LUNDBECK A S SER B DKK1,DK0061804770        ,44120,408856,0.02%
HAIDILAO INTERNATIONAL HOLDING LTD,KYG4290A1013        ,101404,335237,0.01%
HAIER SMART HOME ADR,US40523H1068        ,1671,37795,0.00%
HAITIAN INTERNATIONAL HOLDINGS LTD,KYG4232C1087        ,5987,26266,0.00%
HALEON PLC,GB00BMX86B70        ,398409,3041435,0.13%
HALLIBURTON CO,US4062161017        ,10031,440531,0.02%
HALMA PLC,GB0004052071        ,277,15041,0.00%
HALOZYME THERAPEUTICS INC,US40637H1095        ,1340,103439,0.00%
HAMAT GROUP LTD,IL0003840167        ,3731,28361,0.00%
HAMILTON LANE INC,US4074971064        ,372,88879,0.00%
HANA FINANCIAL GROUP,KR7086790003        ,6321,393871,0.02%
HANESBRANDS INC,US4103451021        ,56201,738879,0.03%
HANG SENG BANK,HK0011000095        ,548,10888,0.00%
HANKYU HANSHIN HOLDINGS NPV,JP3774200004        ,156,6602,0.00%
HANNOVER RUECK SE,DE0008402215        ,44,17731,0.00%
HANWA CO LTD,JP3777800008        ,308,15755,0.00%
HAREL INSURANCE INVESTMENTS AND FINANCIAL SERVICES LTD,IL0005850180        ,1312,29305,0.00%
HARGREAVES LANSDOWN PLC,GB00B1VZ0M25        ,245,5451,0.00%
HARTFORD FINANCIAL SERVICES GROUP INC,US4165151048        ,8301,1466693,0.06%
HASBRO INC,US4180561072        ,3804,343468,0.01%
HASHICORP INC,US4181001037        ,468,25862,0.00%
HAVAS NV,NL0015002AH0        ,497,1350,0.00%
HAVELLS INDIA LTD,INE176B01034        ,1631,51550,0.00%
HAYS PLC,GB0004161021        ,172115,279738,0.01%
HAYWARD HOLDINGS INC,US4212981009        ,1303,32178,0.00%
HD HYUNDAI HEAVY INDUSTRIES CO LTD,KR7329180004        ,910,286980,0.01%
HD HYUNDAI MARINE SOLUTION C,KR7443060009        ,1865,330201,0.01%
HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025        ,353,27960,0.00%
HDFC BANK INR1,INE040A01034        ,88531,2960929,0.13%
HDFC LIFE INSURANCE CO LTD,INE795G01014        ,10308,119991,0.01%
HDHYUNDAI MARINE ENGINE,KR7071970008        ,482,12933,0.00%
HEICO CORP,US4228062083        ,2816,846349,0.04%
HEICO CORP COM,US4228061093        ,291,111548,0.00%
HEIDELBERGCEMENT AG,DE0006047004        ,214,42613,0.00%
HEINEKEN HOLDING NV,NL0000008977        ,130,12608,0.00%
HEINEKEN NV,NL0000009165        ,210,24103,0.00%
HELLO GROUP INC,US4234031049        ,1564,19473,0.00%
HEMNET GROUP AB,SE0015671995        ,977,47996,0.00%
HENAN PINGGAO ELECTRIC CO LTD,CNE000001774        ,195338,829878,0.04%
HENGDIAN GROUP TOSPO LIGHTING CO LTD,CNE100002Y33        ,54265,141327,0.01%
HENKEL AG & CO KGAA,DE0006048408        ,72,8922,0.00%
HENKEL AG & CO KGAA NON VTG PREF,DE0006048432        ,123,17462,0.00%
HENNES & MAURITZ,SE0000106270        ,413,8993,0.00%
HENRY SCHEIN CORP COM,US8064071025        ,3441,384548,0.02%
HERMES INTERNATIONAL,FR0000052292        ,23,89564,0.00%
HESS CORP,US42809H1077        ,2259,485250,0.02%
HEWLETT PACKARD CO,US40434L1052        ,17205,906737,0.04%
HEWLETT PACKARD ENTERPRISE CO,US42824C1099        ,22402,772499,0.03%
HEXAGON AB,SE0015961909        ,1512,23344,0.00%
HEXCEL CORP,US4282911084        ,1062,107569,0.00%
HF SINCLAIR CORPOR COM,US4039491000        ,114,6463,0.00%
HIKARI TSUSHIN INC,JP3783420007        ,11,4046,0.00%
HIKMA PHARMACEUTICALS PLC,GB00B0LCW083        ,115,4629,0.00%
HILL SMITH HOLDINGS PLC,GB0004270301        ,9638,364190,0.02%
HILTON FOOD GROUP PLC,GB00B1V9NW54        ,11241,206233,0.01%
HILTON WORLDWIDE H COM,US43300A2033        ,3498,1396378,0.06%
HIMS & HERS HEALTH ORD SHS CLASS A,US4330001060        ,1923,75110,0.00%
HINDALCO INDUSTRIES LTD,INE038A01020        ,2885,32790,0.00%
HINDUSTAN AERONAUT INR5 POST SUBD,INE066F01020        ,1246,98225,0.00%
HINDUSTAN UNILEVER LIMITED,INE030A01027        ,1424,62509,0.00%
HINO MOTORS LTD,JP3792600003        ,58332,339303,0.01%
HIROSE ELECTRIC JPY,JP3799000009        ,562,108266,0.00%
HISAMITSU PHARMACEUTICAL CO,JP3784600003        ,562,23600,0.00%
HISCOX LTD,BMG4593F1389        ,8199,179616,0.01%
HISENSE KELON ELECTRICAL HOLDINGS CO LTD,CNE100000353        ,40412,206282,0.01%
HITACHI CONSTRUCTION MACHINE,JP3787000003        ,57,2063,0.00%
HITACHI ENERGY INDIA LTD,INE07Y701011        ,133,36202,0.00%
HITACHI NPV,JP3788600009        ,38053,1539643,0.07%
HITE JINRO CO LTD,KR7000080002        ,1380,29558,0.00%
HITEVISION ORD A,CNE100003Q16        ,121929,634557,0.03%
HOCHSCHILD MINING PLC,GB00B1FW5029        ,38609,167128,0.01%
HOEGH AUTOLINERS ORD SHS,NO0011082075        ,3106,50006,0.00%
HOKUHOKU FINANCIAL GROUP INC,JP3842400008        ,2798,55220,0.00%
HOLMEN AB SER B NPV,SE0011090018        ,41,2436,0.00%
HOLOGIC INC,US4364401012        ,3697,430477,0.02%
HOME DEPOT INC,US4370761029        ,2758,1732863,0.07%
HON HAI PRECISION INDUSTRY,TW0002317005        ,149783,1357733,0.06%
HONDA MOTOR CO LTD,JP3854600008        ,3269,51571,0.00%
HONEYWELL INTERNATIONAL INC,US4385161066        ,12383,4517697,0.19%
HONG KONG EXCHANGE & CLEARING,HK0388045442        ,7638,468142,0.02%
HONG LEONG BANK BHD,MYL5819OO007        ,16520,122685,0.01%
HONG TAI ELECTRIC INDUSTRIAL ORD SHS,TW0001612000        ,95835,160052,0.01%
HORIBA LTD,JP3853000002        ,375,35249,0.00%
HORMEL FOODS CORPORATION,US4404521001        ,7772,393757,0.02%
HORNBACH HOLDINGS AG AND CO KGAA,DE0006083405        ,5002,607398,0.03%
HOSHIZAKI CORP,JP3845770001        ,76,4900,0.00%
HOWMET AEROSPACE I COM USD,US4432011082        ,3229,570345,0.02%
HOYA CORPORATION JPY,JP3837800006        ,1308,266354,0.01%
HSBC HOLDINGS PLC,GB0005405286        ,95519,1517296,0.07%
HUAZHU GROUP LIMIT SPONSORED,US44332N1063        ,21002,1120380,0.05%
HUAZHU GROUP LTD,KYG465871120        ,26021,140667,0.01%
HUB24 LIMITED ORDINARY FULLY PAID,AU000000HUB4        ,853,59370,0.00%
HUBBELL INC,US4435106079        ,628,425092,0.02%
HUBEI BIOCAUSE PHARMACEUTICAL CO LTD,CNE000000F48        ,15566,16085,0.00%
HUBSPOT INC,US4435731009        ,2978,3351383,0.14%
HUDBAY MINERALS INC,CA4436281022        ,5959,78035,0.00%
HUMANA INC,US4448591028        ,2306,945097,0.04%
HUNTINGTON INGALLS INDUSTRIES INC,US4464131063        ,1322,403547,0.02%
HUSQVARNA AB - B SHARES,SE0001662230        ,3952,33359,0.00%
HUT 8 CORP,US44812J1043        ,10326,341522,0.01%
HUTCHMED CHINA LTD,US44842L1035        ,24781,576743,0.02%
HYATT HOTELS CORP-CL A,US4485791028        ,30,7719,0.00%
HYUNDAI CONSTRUCTION EQUIPMENT,KR7267270007        ,3432,219526,0.01%
HYUNDAI DEPT STORE CO,KR7069960003        ,301,15612,0.00%
HYUNDAI ELECTRIC ENERGY SYST,KR7267260008        ,3036,1272397,0.05%
HYUNDAI MARINE FIRE INC CO,KR7001450006        ,6977,189067,0.01%
HYUNDAI MIPO DOCKYARD,KR7010620003        ,6592,970585,0.04%
HYUNDAI MOBIS,KR7012330007        ,31,8058,0.00%
HYUNDAI MOTOR CO LTD,KR7005380001        ,207,48041,0.00%
HYUNDAI MOTOR INDIA LTD,INE0V6F01027        ,2177,74173,0.00%
IAMGOLD CORP,CA4509131088        ,7452,62182,0.00%
IBSTOCK PLC,GB00BYXJC278        ,50024,178088,0.01%
ICICI BANK INR2,INE090A01021        ,329861,7975545,0.34%
ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,INE765G01017        ,2457,82860,0.00%
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,INE726G01019        ,7557,93353,0.00%
ICL GROUP LTD,IL0002810146        ,534,4259,0.00%
ICON PLC,IE0005711209        ,600,203234,0.01%
IDEAYA BIOSCIENCES INC,US45166A1025        ,10496,435657,0.02%
IDEX CORP,US45167R1041        ,1190,402169,0.02%
IDEXX LABORATORIES INC,US45168D1046        ,720,480948,0.02%
IDREAMSKY TECHNOLOGY HOLDING,KYG470811079        ,202360,113602,0.00%
IES HOLDINGS INC COM,US44951W1062        ,95,30888,0.00%
IG GROUP HOLDINGS PLC,GB00B06QFB75        ,51396,1029746,0.04%
IGM FINANCIAL INC,CA4495861060        ,46,2355,0.00%
IGO LIMITED ORDINARY FULLY PAID,AU000000IGO4        ,29723,141779,0.01%
IHI CORP,JP3134800006        ,3734,357335,0.02%
IIDA GROUP HOLDING NPV,JP3131090007        ,2958,72366,0.00%
IINO KAIUN KAISHA LTD,JP3131200002        ,13358,161166,0.01%
IJM CORPORATION BHD,MYL3336OO004        ,38749,42549,0.00%
ILLINOIS TOOL WORKS,US4523081093        ,1979,810446,0.03%
ILLUMINA INC,US4523271090        ,1814,391455,0.02%
ILUKA RESOURCES LIMITED,AU000000ILU1        ,16906,85374,0.00%
IMCD NV,NL0010801007        ,42,9965,0.00%
IMMUNNOMEDICS INC,US45257U1088        ,6982,119756,0.01%
IMPERIAL OIL LTD,CA4530384086        ,2503,248981,0.01%
INABATA & CO LTD,JP3146000009        ,736,25193,0.00%
INCHCAPE PLC NEW,GB00B61TVQ02        ,38106,593124,0.03%
INCYTE CORP,US45337C1027        ,3560,397113,0.02%
INDIAN HOTELS COMPANY LTD,INE053A01029        ,15923,263605,0.01%
INDITEX,ES0148396007        ,7283,604624,0.03%
INDRA SISTEMAS SA,ES0118594417        ,6370,181965,0.01%
INDUSIND BANK LTD,INE095A01012        ,33069,598994,0.03%
INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES INC,CA45075E1043        ,69,10256,0.00%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CNE1000003G1        ,2658220,2879561,0.12%
INDUSTRIVARDEN AB,SE0000190126        ,85,4346,0.00%
INDUSTRIVARDEN AB SER C NPV,SE0000107203        ,109,5541,0.00%
INDUTRADE AB,SE0001515552        ,189,7632,0.00%
INFINEON TECHNOLOGIES AG,DE0006231004        ,103342,5427009,0.23%
INFO EDGE INDIA,INE663F01024        ,1757,287549,0.01%
INFORMA PLC,GB00BMJ6DW54        ,1786,28843,0.00%
INFOSYS LTD,INE009A01021        ,63408,2248871,0.10%
INFRATIL LIMITED,NZIFTE0003S3        ,827,9431,0.00%
ING GROEP NV,NL0011821202        ,7540,190804,0.01%
INGERSOLL RAND INC,US45687V1061        ,3196,466881,0.02%
INKEVERSE GROUP LTD,KYG4809C1015        ,185596,88370,0.00%
INNOVENT BIOLOGICS INC,KYG4818G1010        ,136410,1038068,0.04%
INNUOVO TECHNOLOGY CO LTD A,CNE000000SL5        ,48266,103915,0.00%
INPEX CORPORATION,JP3294460005        ,27604,558997,0.02%
INPOST SA,LU2290522684        ,160,4408,0.00%
INSMED INC,US4576693075        ,1678,187146,0.01%
INSPIRE MEDICAL SYSTEMS INC,US4577301090        ,1299,388849,0.02%
INSULET CORP,US45784P1012        ,1011,426413,0.02%
INTACT FINANCIAL CORPORATION,CA45823T1066        ,129,38033,0.00%
INTAPP INC,US45827U1097        ,5942,615121,0.03%
INTEGRAFIN HOLDINGS PLC,GB00BD45SH49        ,31193,217999,0.01%
INTEL CORP,US4581401001        ,50392,1631861,0.07%
INTERACTIVE BROKERS GRO-CL,US45841N1072        ,1038,296263,0.01%
INTERCONTINENTAL EXCHANGE INC,US45866F1049        ,7581,1824518,0.08%
INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057        ,242,48746,0.00%
INTERDIGITAL INC,US45867G1013        ,583,182507,0.01%
INTERFACE INC,US4586653044        ,3093,121625,0.01%
INTERGLOBE AVIATION LTD,INE646L01027        ,17842,1532942,0.07%
INTERNATIONAL BANCSHARES CORP,US4590441030        ,566,57756,0.00%
INTERNATIONAL BUSINESS MACHINES CORP CAP STK,US4592001014        ,3860,1370639,0.06%
INTERNATIONAL PERSONAL FINANCE PLC,GB00B1YKG049        ,4399,11568,0.00%
INTERNETWORKING BROADBAND CO,JP3104940006        ,805,5936,0.00%
INTERPUBLIC GROUP COS INC USD,US4606901001        ,8665,392151,0.02%
INTERTEK GROUP INC,GB0031638363        ,118,11243,0.00%
INTESA SANPAOLO S P A SPONSORED ADR,US46115H1077        ,8937,348606,0.02%
INTESA SANPAOLO SPA,IT0000072618        ,31490,203447,0.01%
INTERNATIONAL FLAVORS & FRAGRANCES INC,US4595061015        ,3228,440841,0.02%
INTL PAPER CO,US4601461035        ,5113,444413,0.02%
INTUIT INC,US4612021034        ,3097,3144192,0.14%
INTUITIVE SURGICAL INC,US46120E6023        ,4592,3871470,0.17%
INVESCO LIMITED,BMG491BT1088        ,17052,481408,0.02%
INVESTEC PLC,GB00B17BBQ50        ,60944,670622,0.03%
INVESTMENT AB LATOUR,SE0010100958        ,102,4120,0.00%
INVESTOR AB SER B NPV,SE0015811963        ,3977,170171,0.01%
IONQ INC,US46222L1089        ,838,56509,0.00%
IP GROUP PLC,GB00B128J450        ,114917,125291,0.01%
IPSEN PROMESSES SA,FR0010259150        ,26,4819,0.00%
IQVIA HOLDINGS INC,US46266C1053        ,1987,630659,0.03%
IRHYTHM TECHNOLOGIES ORD SHS,US4500561067        ,2206,321271,0.01%
ISETAN MITSUKOSHI HOLDINGS LTD,JP3894900004        ,3801,107528,0.00%
ISRACARD LTD,IL0011574030        ,5215,37424,0.00%
ISRAEL DISCOUNT BANK,IL0006912120        ,853,9427,0.00%
ISUZU MOTORS,JP3137200006        ,411,9118,0.00%
ITAU UNIBANCO HOLDING SA,BRITUBACNPR1        ,35922,288595,0.01%
ITOCHU CORP JPY,JP3143600009        ,868,69841,0.00%
ITRON INC,US4657411066        ,485,85089,0.00%
ITV PLC - ORD SHS,GB0033986497        ,392814,584807,0.03%
IVANHOE MINES LTD COM NPV CL A,CA46579R1047        ,651,12468,0.00%
IVE GROUP LIMITED ORDINARY FULLY PAID,AU000000IGL0        ,9167,19251,0.00%
IVECO GROUP NV,NL0015000LU4        ,1923,30043,0.00%
J B CHEMICALS AND PHARMACEUTICAL ORD SHS,INE572A01036        ,1329,46240,0.00%
J FRONT RETAILING CO LTD,JP3386380004        ,4752,103890,0.00%
JABIL INC,US4663131039        ,5453,1267452,0.05%
JACK HENRY & ASSOCIATES INC,US4262811015        ,1468,415716,0.02%
JACK TECHNOLOGY ORD SHS A,CNE100002Z81        ,133380,898971,0.04%
JACKSON FINANCIAL COM USD0.01 CL A WI,US46817M1071        ,7252,1019939,0.04%
JACOBS SOLUTIONS COM USD1.00,US46982L1089        ,2034,438923,0.02%
JAFCO GROUP CO LTD NPV TEMP,JP3389900006        ,32190,715560,0.03%
JANUS HENDERSON GR ORD,JE00BYPZJM29        ,4970,341379,0.01%
JANUX THERAPEUTICS INC,US47103J1051        ,4335,374831,0.02%
JAPAN AIRLINES CO LTD,JP3705200008        ,80,2047,0.00%
JAPAN AVIATION ELECTRONICS,JP3705600009        ,2557,78267,0.00%
JAPAN EXCHANGE GROUP INC,JP3183200009        ,1509,27447,0.00%
JAPAN PETROLEUM EXPLORATION,JP3421100003        ,2088,24355,0.00%
JAPAN POST BANK CO LTD,JP3946750001        ,2233,34295,0.00%
JAPAN POST HOLDINGS CO LTD,JP3752900005        ,3103,47532,0.00%
JAPAN POST INSURANCE CO LTD,JP3233250004        ,133,3979,0.00%
JB FINANCIAL GROUP CO LTD,KR7175330000        ,16687,298044,0.01%
JB HUNT TRANSPORT SERVICES INC,US4456581077        ,1511,416392,0.02%
JD SPORTS FASHION ORD,GB00BM8Q5M07        ,1788,3468,0.00%
JD.COM INC,KYG8208B1014        ,17780,502772,0.02%
JDE PEETS BV,NL0014332678        ,84,2324,0.00%
JEFFERIES FINL GRP COM USD0.0001,US47233W1099        ,22305,2824410,0.12%
JERONIMO MARTINS SGPS SA,PTJMT0AE0001        ,195,6028,0.00%
JET2 PLC,GB00B1722W11        ,2022,64734,0.00%
JFE HOLDINGS INC,JP3386030005        ,598,10927,0.00%
JIANGLING MOTORS CORP LTD,CNE000000CV8        ,34024,176546,0.01%
JIANGSU CHANGSHU RURAL COMMERCIAL BANK CO LTD,CNE100002RJ6        ,34294,57444,0.00%
JIANGSU LINYANG ENERGY CO LTD,CNE1000015X0        ,37330,58399,0.00%
JIANGSU SOPO CHEMICAL CO A,CNE000000M64        ,92050,142780,0.01%
JIANGSU SUZHOU RURAL COMMERCIAL BANK ORD SHS A,CNE100003035        ,1096107,1283023,0.06%
JIANGSU ZHANGJIAGANG RURAL COMMERCIAL BANK CO LTD,CNE100002K54        ,185104,178988,0.01%
JINGJIN EQUIPMENT INC,CNE100003M36        ,3835,15174,0.00%
JOHNSON & JOHNSON COM,US4781601046        ,31788,7425088,0.32%
JOHNSON CONTROLS INTERNATIONAL PLC,IE00BY7QL619        ,4262,543362,0.02%
JOHNSON MATTHEY PLC,GB00BZ4BQC70        ,18648,505455,0.02%
JOYY INC,US46591M1099        ,423,28562,0.00%
JP MORGAN CHASE & CO,US46625H1005        ,31838,12326314,0.53%
JPR GROUP PLC,GB00BCRX1J15        ,111421,366015,0.02%
JTC PLC,JE00BF4X3P53        ,17357,345472,0.01%
JTEKT CORPORATION,JP3292200007        ,41225,499716,0.02%
JULIUS BAER GROUP LTD,CH0102484968        ,150,15688,0.00%
JUNIPER NETWORK INC,US48203R1041        ,9175,554976,0.02%
JUPITER FUND MANAGEMENT PLC,GB00B53P2009        ,47698,83650,0.00%
JUROKU FINANCIAL G NPV,JP3392650002        ,7375,324392,0.01%
JVCKENWOOD CORP,JP3386410009        ,20666,370929,0.02%
JYOTI CNC AUTOMATION LTD,INE980O01024        ,1807,46039,0.00%
JYSKE BANK - REG,DK0010307958        ,3467,396544,0.02%
K & S AG SHS,DE000KSAG888        ,4406,77074,0.00%
K S HOLDINGS CORP,JP3277150003        ,1245,18012,0.00%
KADOKAWA CORPORATION,JP3214350005        ,17320,559618,0.02%
KAINOS GROUP PLC,GB00BZ0D6727        ,10602,173488,0.01%
KAJEMA CORP,JP3210200006        ,293,8676,0.00%
KAKAKU.COM INC,JP3206000006        ,47592,1183613,0.05%
KAKAO CORP,KR7035720002        ,27243,1141757,0.05%
