Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
Celestica Inc,CLS CN,"6,861","1,022,196",0.00%
Cellnex Telecom SA,CLNX SM,"6,825","348,266",0.00%
Celltrion Inc,068270 KS,20,"4,188",0.00%
Celsius Holdings Inc,CELH US,"15,039","639,795",0.00%
Cemex SAB de CV,CX US,"805,436","7,336,925",0.02%
Cencora Inc,COR US,"42,678","15,487,088",0.04%
Cenovus Energy Inc,CVE CN,"23,411","572,873",0.00%
Centene Corp,CNC US,"48,362","4,731,931",0.01%
CenterPoint Energy Inc,CNP US,"124,808","6,396,135",0.02%
Centrais Eletricas Brasileiras SA,ELET3 BZ,"321,154","2,865,603",0.01%
Central Japan Railway Co,9022 JP,"17,940","546,656",0.00%
Centrica PLC,CNA LN,"59,527","160,868",0.00%
Cettire Ltd,CTT AU,"1,773,982","2,678,712",0.01%
CF Industries Holdings Inc,CF US,"3,410","469,942",0.00%
CGI Inc,GIB/A CN,"31,124","5,497,411",0.01%
CH Robinson Worldwide Inc,CHRW US,227,"37,958",0.00%
Chalice Mining Ltd,CHN AU,"69,035","76,284",0.00%
Challenger Ltd,CGF AU,"1,600,170","9,617,020",0.02%
Champion Iron Ltd,CIA AU,"2,468,612","14,194,520",0.03%
Changchun High-Tech Industry Group Co Ltd,000661 C2,"4,773","105,018",0.00%
Charles Schwab Corp/The,SCHW US,"76,712","9,169,745",0.02%
Charter Communications Inc,CHTR US,"35,894","19,871,461",0.05%
Check Point Software Technologies Ltd,CHKP US,"96,826","29,197,020",0.07%
Cheng Shin Rubber Industry Co Ltd,2105 TT,"265,810","642,311",0.00%
Cheniere Energy Inc,LNG US,"43,573","15,121,632",0.04%
Chesapeake Utilities Corp,CPK US,259,"50,763",0.00%
Chevron Corp,CVX US,"58,549","13,696,561",0.03%
China Airlines Ltd,2610 TT,"451,111","570,041",0.00%
China CITIC Financial Asset Management Co Ltd,2799 HK,"118,551","16,022",0.00%
China Construction Bank Corp,939 HK,"11,210,144","15,103,719",0.04%
China Everbright Bank Co Ltd,601818 C1,"186,218","159,462",0.00%
China Everbright Bank Co Ltd,6818 HK,"490,371","307,914",0.00%
China Feihe Ltd,6186 HK,"56,038","63,500",0.00%
China Life Insurance Co Ltd,2628 HK,"293,100","894,623",0.00%
China Mengniu Dairy Co Ltd,2319 HK,"960,396","3,506,490",0.01%
China Merchants Bank Co Ltd,3968 HK,"35,275","293,377",0.00%
China Merchants Port Holdings Co Ltd,144 HK,"9,452","27,200",0.00%
China National Nuclear Power Co Ltd,601985 C1,"87,990","203,068",0.00%
China Oilfield Services Ltd,2883 HK,"17,693","25,898",0.00%
China Pacific Insurance Group Co Ltd,2601 HK,"103,925","544,524",0.00%
China Resources Beer Holdings Co Ltd,291 HK,"449,600","2,360,399",0.01%
China State Construction Engineering Corp Ltd,601668 C1,"124,479","165,262",0.00%
China Tourism Group Duty Free Corp Ltd,601888 C1,"4,080","60,496",0.00%
Chipotle Mexican Grill Inc,CMG US,"57,524","5,602,383",0.01%
Chocoladefabriken Lindt & Spruengli AG,LISP SW,65,"1,174,329",0.00%
Chongqing Changan Automobile Co Ltd,000625 C2,"8,614","25,465",0.00%
Chorus Ltd,CNU AU,"1,483,994","11,782,912",0.03%
Chrysos Corp Ltd,C79 AU,"368,809","1,821,914",0.00%
Chubb Ltd,CB US,"16,064","7,168,774",0.02%
Chubu Electric Power Co Inc,9502 JP,"8,000","136,104",0.00%
Chugai Pharmaceutical Co Ltd,4519 JP,"38,554","2,773,098",0.01%
Chugoku Electric Power Co Inc/The,9504 JP,"3,564","33,403",0.00%
Church & Dwight Co Inc,CHD US,"12,503","2,114,546",0.00%
Cia Cervecerias Unidas SA,CCU US,"102,589","1,877,306",0.00%
Cia de Minas Buenaventura SAA,BVN US,"16,258","302,507",0.00%
Cia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3 BZ,"97,282","2,250,821",0.01%
Cia Energetica de Minas Gerais,CMIG4 BZ,"222,180","645,337",0.00%
Cia Paranaense de Energia - Copel,CPLE3 BZ,"314,493","677,493",0.00%
Cie de Saint-Gobain SA,SGO FP,"69,389","9,945,430",0.02%
Cie Generale des Etablissements Michelin SCA,ML FP,"249,890","13,290,164",0.03%
Cigna Group/The,CI US,"2,984","1,330,769",0.00%
CIMB Group Holdings Bhd,CIMB MK,"678,660","2,010,097",0.00%
Cintas Corp,CTAS US,"64,548","19,047,067",0.04%
Cipla Ltd/India,CIPLA IN,"528,960","15,257,757",0.04%
Cisco Systems Inc,CSCO US,"153,564","14,683,005",0.03%
Citigroup Inc,C US,"302,648","34,407,513",0.08%
Citizens Financial Group Inc,CFG US,"42,082","2,974,241",0.01%
CK Hutchison Holdings Ltd,1 HK,"112,862","973,849",0.00%
CK Infrastructure Holdings Ltd,1038 HK,"7,168","86,071",0.00%
Clarity Pharmaceuticals Ltd,CU6 AU,"42,810","178,518",0.00%
Cleanaway Waste Management Ltd,CWY AU,"8,117,712","21,511,938",0.05%
Clearwater Analytics Holdings Inc,CWAN US,"168,071","7,470,427",0.02%
Clicks Group Ltd,CLS SJ,"120,080","3,834,682",0.01%
Clinuvel Pharmaceuticals Ltd,CUV AU,"24,917","300,499",0.00%
Clorox Co/The,CLX US,"21,963","5,761,182",0.01%
Cloudflare Inc,NET US,"210,435","36,598,051",0.09%
CLP Holdings Ltd,2 HK,"19,009","258,096",0.00%
CME Group Inc,CME US,"71,286","26,737,719",0.06%
CMOC Group Ltd,603993 C1,"108,775","160,057",0.00%
CMS Energy Corp,CMS US,"3,406","366,633",0.00%
CNOOC Energy Technology & Services Ltd,600968 C1,"23,595","22,293",0.00%
Co for Cooperative Insurance/The,TAWUNIYA AB,"15,821","1,003,762",0.00%
Coca-Cola Co/The,KO US,"54,918","5,522,372",0.01%
Coca-Cola Femsa SAB de CV,KOFUBL MM,"37,323","469,629",0.00%
Coca-Cola HBC AG,CCH LN,"242,857","13,420,783",0.03%
Cochlear Ltd,COH AU,"224,412","65,052,416",0.15%
Codan Ltd,CDA AU,"175,750","2,829,569",0.01%
Cogent Communications Holdings Inc,CCOI US,537,"66,846",0.00%
Cognizant Technology Solutions Corp,CTSH US,"226,989","28,192,571",0.07%
Coinbase Global Inc,COIN US,"4,121","1,652,584",0.00%
Coles Group Ltd,COL AU,"4,371,094","82,569,975",0.19%
Colgate-Palmolive Co,CL US,"146,862","21,563,801",0.05%
Colgate-Palmolive India Ltd,CLGT IN,"19,496","985,906",0.00%
Collins Foods Ltd,CKF AU,"871,036","6,323,718",0.01%
Comcast Corp,CMCSA US,"129,239","7,833,842",0.02%
ComfortDelGro Corp Ltd,CD SP,"1,938,350","3,396,409",0.01%
Commercial International Bank - Egypt (CIB),COMI EY,"38,498","96,028",0.00%
Commonwealth Bank of Australia,CBA AU,"3,578,010","548,330,014",1.29%
Compal Electronics Inc,2324 TT,"369,950","686,189",0.00%
Compass Group PLC,CPG LN,"421,781","22,711,297",0.05%
Computershare Ltd,CPU AU,"701,882","23,828,905",0.06%
Conagra Brands Inc,CAG US,"31,478","1,410,814",0.00%
ConocoPhillips,COP US,"41,869","6,706,145",0.02%
Consolidated Edison Inc,ED US,"97,301","14,022,759",0.03%
Constellation Energy Corp,CEG US,"3,257","1,176,841",0.00%
Constellation Software Inc/Canada,CSU CN,"1,617","8,073,452",0.02%
Contact Energy Ltd,CEN AU,"434,430","3,588,390",0.01%
Contemporary Amperex Technology Co Ltd,300750 C2,"245,339","14,440,219",0.03%
Continental AG,CON GR,"12,769","1,384,256",0.00%
Control Bionics Ltd,CBL AU,"365,768",0,0.00%
Cooper Cos Inc/The,COO US,"136,016","20,195,358",0.05%
Copa Holdings SA,CPA US,"8,799","1,248,895",0.00%
Copart Inc,CPRT US,"125,375","11,621,197",0.03%
Coronado Global Resources Inc,CRN AU,"172,221","131,749",0.00%
Corporate Travel Management Ltd,CTD AU,"19,733","261,461",0.00%
COSCO SHIPPING Holdings Co Ltd,601919 C1,"46,805","160,526",0.00%
COSCO SHIPPING Holdings Co Ltd,1919 HK,"4,241","11,288",0.00%
Costco Wholesale Corp,COST US,"21,609","31,978,303",0.08%
Coterra Energy Inc,CTRA US,"73,032","3,012,585",0.01%
Coupang Inc,CPNG US,"720,858","25,590,656",0.06%
Coway Co Ltd,021240 KS,"4,313","316,581",0.00%
CP ALL PCL,CPALL/F TB,"554,455","1,464,281",0.00%
CPFL Energia SA,CPFE3 BZ,"34,939","288,552",0.00%
Credicorp Ltd,BAP US,"16,795","4,972,713",0.01%
Credit Agricole SA,ACA FP,"76,670","1,704,128",0.00%
Credit Agricole SA,XCA TH,"43,130","961,883",0.00%
Credit Corp Group Ltd,CCP AU,"443,409","7,090,102",0.02%
CRH PLC,CRH LN,"38,775","5,815,085",0.01%
CRH PLC,CRH US,"31,307","4,678,300",0.01%
Criteo SA,CRTO US,"53,681","3,429,872",0.01%
Croda International PLC,CRDA LN,"55,718","3,815,077",0.01%
Crowdstrike Holdings Inc,CRWD US,"9,475","5,236,080",0.01%
Crown Holdings Inc,CCK US,"6,180","825,343",0.00%
CRRC Corp Ltd,1766 HK,"239,443","249,423",0.00%
CSL Ltd,CSL AU,"1,578,777","444,552,067",1.05%
CSPC Pharmaceutical Group Ltd,1093 HK,"498,838","495,776",0.00%
CSX Corp,CSX US,"49,881","2,599,793",0.01%
CTBC Financial Holding Co Ltd,2891 TT,"434,512","836,978",0.00%
Cummins Inc,CMI US,"18,695","10,525,674",0.02%
Cummins India Ltd,KKC IN,"18,788","1,160,436",0.00%
CVS Health Corp,CVS US,"265,205","19,228,080",0.05%
CyberArk Software Ltd,CYBR US,"13,111","7,054,553",0.02%
Dai Nippon Printing Co Ltd,7912 JP,"2,072","47,267",0.00%
Dai-ichi Life Holdings Inc,8750 JP,"104,618","4,553,238",0.01%
Daiichi Sankyo Co Ltd,4568 JP,"21,324","953,710",0.00%
Daimler Truck Holding AG,DTG GR,"384,697","23,708,867",0.06%
Daiwa Securities Group Inc,8601 JP,"227,249","2,447,514",0.01%
Danaher Corp,DHR US,"99,072","36,730,865",0.09%
Danone SA,BN FP,"36,942","4,023,412",0.01%
Danske Bank A/S,DANSKE DC,"18,344","838,026",0.00%
Daqin Railway Co Ltd,601006 C1,"16,397","24,599",0.00%
Darden Restaurants Inc,DRI US,"5,241","1,580,266",0.00%
Dassault Aviation SA,AM FP,"2,621","864,497",0.00%
Data#3 Ltd,DTL AU,"867,060","5,540,514",0.01%
Datadog Inc,DDOG US,"82,743","19,095,683",0.05%
DaVita Inc,DVA US,426,"102,826",0.00%
DB Insurance Co Ltd,005830 KS,"5,804","654,639",0.00%
DBS Group Holdings Ltd,DBS SP,"264,511","13,691,457",0.03%
De Grey Mining Ltd,DEG AU,"2,960,698","5,225,632",0.01%
Deckers Outdoor Corp,DECK US,"18,966","6,221,222",0.01%
Deere & Co,DE US,"4,182","2,861,601",0.01%
Dell Technologies Inc,DELL US,"11,142","2,073,869",0.00%
Delta Air Lines Inc,DAL US,"52,597","5,139,543",0.01%
Delta Electronics Inc,2308 TT,"104,453","2,215,276",0.01%
Descartes Systems Group Inc/The,DSG CN,"2,033","373,070",0.00%
Deterra Royalties Ltd,DRR AU,"2,898,799","10,783,532",0.03%
Deutsche Boerse AG,DB1 GR,"10,277","3,822,460",0.01%
Deutsche Lufthansa AG,LHA GR,"76,151","786,574",0.00%
Deutsche Post AG,DHL GR,"19,553","1,111,212",0.00%
Deutsche Telekom AG,DTE GR,"131,865","6,371,356",0.02%
Develop Global Ltd,DVP AU,"563,992","1,319,742",0.00%
Devon Energy Corp,DVN US,"8,884","469,655",0.00%
Dexco SA,DXCO3 BZ,"733,167","1,142,394",0.00%
Dexcom Inc,DXCM US,"134,804","16,932,458",0.04%
Dexerials Corp,4980 JP,"24,018","610,046",0.00%
Diageo PLC,DGE LN,"682,964","35,055,112",0.08%
Diamondback Energy Inc,FANG US,"7,252","1,918,818",0.00%
DiaSorin SpA,DIA IM,"13,436","2,237,276",0.01%
Dicker Data Ltd,DDR AU,"48,379","407,348",0.00%
Dick's Sporting Goods Inc,DKS US,"3,127","1,155,743",0.00%
DiDi Global Inc,DIDIY US,"1,005,016","7,418,110",0.02%
Diploma PLC,DPLM LN,"81,706","7,024,128",0.02%
Disco Corp,6146 JP,770,"338,050",0.00%
Discover Financial Services,DFS US,"11,899","3,329,184",0.01%
Divi's Laboratories Ltd,DIVI IN,"70,817","8,147,890",0.02%
DKSH Holding AG,DKSH SW,21,"2,500",0.00%
DNB Bank ASA,DNB NO,"38,817","1,252,528",0.00%
DocuSign Inc,DOCU US,"1,925","279,677",0.00%
Dollar General Corp,DG US,"220,017","26,942,919",0.06%
Dollarama Inc,DOL CN,"20,793","3,275,719",0.01%
Domain Holdings Australia Ltd,DHG AU,"38,900","98,416",0.00%
Dominion Energy Inc,D US,"9,723","845,768",0.00%
Domino's Pizza Enterprises Ltd,DMP AU,"611,963","18,016,197",0.04%
DoorDash Inc,DASH US,"23,552","6,381,129",0.02%
Doosan Bobcat Inc,241560 KS,"4,241","194,950",0.00%
Dover Corp,DOV US,"3,012","912,475",0.00%
Dow Inc,DOW US,"234,472","15,197,227",0.04%
Downer EDI Ltd,DOW AU,"12,784,164","67,116,857",0.16%
DR Horton Inc,DHI US,"15,744","3,555,450",0.01%
Dr Ing hc F Porsche AG,P911 GR,"11,380","1,111,895",0.00%
Dr Lal PathLabs Ltd,DLPL IN,"70,399","3,984,822",0.01%
Dr Reddy's Laboratories Ltd,RDY US,"1,007","25,682",0.00%
DroneShield Ltd,DRO AU,"127,606","97,618",0.00%
Dropbox Inc,DBX US,"109,713","5,323,071",0.01%
DSM-Firmenich AG,DSFIR NA,"78,746","12,869,556",0.03%
DSV A/S,DSV DC,"38,819","13,311,363",0.03%
Duke Energy Corp,DUK US,"11,739","2,042,702",0.00%
DuPont de Nemours Inc,DD US,"55,916","6,886,226",0.02%
Dutch Bros Inc,BROS US,"31,691","2,681,046",0.01%
Dynatrace Inc,DT US,"53,588","4,704,064",0.01%
E Ink Holdings Inc,8069 TT,"41,570","559,084",0.00%
E.ON SE,EOAN GR,"29,599","556,652",0.00%
E.Sun Financial Holding Co Ltd,2884 TT,"19,632","26,065",0.00%
Eagers Automotive Ltd,APE AU,"338,980","4,013,521",0.01%
East Japan Railway Co,9020 JP,"13,069","375,394",0.00%
Eastroc Beverage Group Co Ltd,605499 C1,"25,528","1,403,799",0.00%
Eaton Corp PLC,ETN US,"21,877","11,726,444",0.03%
eBay Inc,EBAY US,"95,158","9,521,163",0.02%
EBOS Group Ltd,EBO AU,"410,519","13,953,524",0.03%
Ecolab Inc,ECL US,"23,825","9,016,647",0.02%
Edison International,EIX US,"124,167","16,011,396",0.04%
EDP SA,EDP PL,"40,216","207,898",0.00%
Edwards Lifesciences Corp,EW US,"167,678","20,048,831",0.05%
Eiffage SA,FGR FP,"7,737","1,096,314",0.00%
Elders Ltd,ELD AU,"1,453,801","10,409,217",0.02%
Eldorado Gold Corp,EGO US,"140,683","3,378,746",0.01%
Electronic Arts Inc,EA US,"152,754","36,094,462",0.09%
Elevance Health Inc,ELV US,"8,715","5,192,570",0.01%
elf Beauty Inc,ELF US,"90,625","18,376,702",0.04%
Elgi Equipments Ltd,ELEQ IN,"205,914","2,252,287",0.01%
Eli Lilly & Co,LLY US,"40,908","51,006,654",0.12%
Elia Group SA/NV,ELI BB,442,"54,995",0.00%
Embraer SA,EMBR3 BZ,"235,583","3,460,750",0.01%
EMCOR Group Inc,EME US,"4,429","3,246,714",0.01%
Emera Inc,EMA CN,"3,434","207,229",0.00%
Emerald Resources NL,EMR AU,"717,803","2,332,861",0.01%
Emerson Electric Co,EMR US,"11,914","2,384,650",0.01%
Empire Co Ltd,EMP/A CN,"7,878","388,312",0.00%
Empresas Copec SA,COPEC CI,"49,317","486,870",0.00%
EMS-Chemie Holding AG,EMSN SW,"1,005","1,094,835",0.00%
Enagas SA,ENG SM,"3,012","59,345",0.00%
Enbridge Inc,ENB CN,"65,304","4,474,331",0.01%
Enchem Co Ltd,348370 KS,226,"33,000",0.00%
Endava PLC,DAVA US,"63,890","3,188,561",0.01%
Endeavour Group Ltd/Australia,EDV AU,"2,581,500","10,842,299",0.03%
Endesa SA,ELE SM,"61,055","2,120,848",0.01%
Enel Chile SA,ENELCHIL CI,"2,766,033","258,294",0.00%
Enel SpA,ENEL IM,"1,379,003","15,881,312",0.04%
ENEOS Holdings Inc,5020 JP,"80,445","683,127",0.00%
Engie SA,ENGI FP,"172,933","4,428,001",0.01%
Eni SpA,ENI IM,"87,603","1,917,847",0.00%
Enphase Energy Inc,ENPH US,"96,328","10,685,336",0.03%
Ensign Group Inc/The,ENSG US,"53,383","11,455,266",0.03%
Entergy Corp,ETR US,"4,985","610,483",0.00%
EOG Resources Inc,EOG US,"30,883","6,114,171",0.01%
Eoptolink Technology Inc Ltd,300502 C2,"6,543","167,345",0.00%
EPAM Systems Inc,EPAM US,"2,528","954,716",0.00%
Epiroc AB,EPIA SS,"5,267","148,246",0.00%
EQT AB,EQT SS,"14,553","651,174",0.00%
EQT Corp,EQT US,"135,787","10,112,444",0.02%
Equifax Inc,EFX US,"62,566","25,752,880",0.06%
Equinor ASA,EQNR NO,"160,426","6,054,842",0.01%
Equitable Holdings Inc,EQH US,"102,297","7,793,513",0.02%
Erste Group Bank AG,EBS AV,"45,927","4,582,487",0.01%
Esperion Therapeutics Inc,ESPR US,"223,335","793,568",0.00%
Essential Utilities Inc,WTRG US,"2,912","170,845",0.00%
EssilorLuxottica SA,EL FP,"3,367","1,326,764",0.00%
Essity AB,ESSITYB SS,"4,042","174,723",0.00%
Etihad Etisalat Co,EEC AB,"6,383","146,522",0.00%
Etsy Inc,ETSY US,"2,689","229,700",0.00%
Eurazeo SE,RF FP,"1,507","181,377",0.00%
Eurobank Ergasias Services and Holdings SA,EUROB GA,"136,773","510,104",0.00%
Euronext NV,ENX FP,"6,005","1,087,752",0.00%
Eutelsat Communications SACA,ETL FP,"1,582","6,000",0.00%
Eva Airways Corp,2618 TT,"329,933","720,866",0.00%
Evercore Inc,EVR US,"1,266","566,590",0.00%
Everest Group Ltd,EG US,"2,341","1,370,286",0.00%
Evergreen Marine Corp Taiwan Ltd,2603 TT,"43,879","486,383",0.00%
Evergy Inc,EVRG US,"11,312","1,124,538",0.00%
Eversource Energy,ES US,"4,110","381,229",0.00%
EVN AG,EVN AV,442,"16,262",0.00%
Evolution AB,EVO SS,"21,726","2,708,268",0.01%
Evolution Mining Ltd,EVN AU,"6,172,873","29,691,519",0.07%
Evonik Industries AG,EVK GR,"178,488","4,994,126",0.01%
EVT Ltd,EVT AU,"23,250","264,587",0.00%
Exelixis Inc,EXEL US,"20,028","1,077,187",0.00%
Exelon Corp,EXC US,"182,565","11,098,648",0.03%
EXOR NV,EXO NA,"1,574","233,107",0.00%
Chesapeake Energy Corp,CHK US,"10,400","1,672,192",0.00%
Expedia Group Inc,EXPE US,"21,088","6,346,173",0.01%
Experian PLC,EXPN LN,"6,718","468,158",0.00%
Exxon Mobil Corp,XOM US,"151,993","26,406,938",0.06%
F5 Inc,FFIV US,"11,581","4,703,694",0.01%
Fabrinet,FN US,"1,505","534,468",0.00%
FactSet Research Systems Inc,FDS US,"29,427","22,826,687",0.05%
Fair Isaac Corp,FICO US,"1,538","4,945,851",0.01%
Fairfax Financial Holdings Ltd,FFH CN,"3,709","8,330,423",0.02%
Falabella SA,FALAB CI,"136,269","777,878",0.00%
FANUC Corp,6954 JP,"5,274","226,286",0.00%
Fast Retailing Co Ltd,9983 JP,"4,400","2,433,682",0.01%
Fastenal Co,FAST US,"59,352","6,893,306",0.02%
FedEx Corp,FDX US,"3,079","1,399,154",0.00%
Ferrari NV,RACEM BQ,"3,587","2,473,723",0.01%
Fidelity National Financial Inc,FNF US,"39,704","3,600,059",0.01%
Fidelity National Information Services Inc,FIS US,"202,471","26,412,964",0.06%
Fifth Third Bancorp,FITB US,"24,838","1,696,118",0.00%
Firefinch Ltd,FFX AU,"431,197",0,0.00%
First Abu Dhabi Bank PJSC,FAB UH,"603,318","3,645,107",0.01%
First Citizens BancShares Inc/NC,FCNCA US,834,"2,845,258",0.01%
First Horizon Corp,FHN US,"17,913","582,675",0.00%
First Solar Inc,FSLR US,"3,479","990,231",0.00%
FirstEnergy Corp,FE US,"6,640","426,606",0.00%
Firstgroup PLC,FGP LN,"7,089","23,043",0.00%
Fiserv Inc,FI US,"87,652","29,080,854",0.07%
Fisher & Paykel Healthcare Corp Ltd,FPH AU,"1,500,585","52,445,453",0.12%
Five Below Inc,FIVE US,"46,039","7,804,604",0.02%
Five-Star Business Finance Ltd,FIVESTAR IN,"352,340","5,143,418",0.01%
Corpay Inc,CPAY US,"11,666","6,376,360",0.02%
FleetPartners Group Ltd,FPR AU,"1,818,995","4,893,096",0.01%
Fletcher Building Ltd,FBU AU,"11,941,717","30,451,379",0.07%
Flex Ltd,FLEX US,"155,631","9,649,822",0.02%
Flight Centre Travel Group Ltd,FLT AU,"917,688","15,307,031",0.04%
Floor & Decor Holdings Inc,FND US,"12,924","2,081,055",0.00%
Fluence Corp Ltd,FLC AU,"157,669","11,352",0.00%
Flughafen Zurich AG,FHZN SW,238,"92,150",0.00%
Flutter Entertainment PLC,FLTRL TQ,"45,576","19,101,760",0.05%
FMC Corp,FMC US,"20,169","1,583,494",0.00%
Fomento Economico Mexicano SAB de CV,FMX US,"141,035","19,473,651",0.05%
Ford Motor Co,F US,"81,653","1,305,597",0.00%
Fortescue Ltd,FMG AU,"2,191,391","39,992,881",0.09%
Fortinet Inc,FTNT US,"51,943","7,926,277",0.02%
Fortis Inc/Canada,FTS CN,"97,043","6,509,378",0.02%
Fortive Corp,FTV US,"11,133","1,348,588",0.00%
Fortune Electric Co Ltd,1519 TT,"14,626","405,679",0.00%
Fox Corp,FOXA US,"26,752","2,098,990",0.00%
Foxconn Industrial Internet Co Ltd,601138 C1,"61,662","293,347",0.00%
Franco-Nevada Corp,FNV CN,"8,156","1,547,221",0.00%
Franco-Nevada Corp,FNV US,"32,310","6,136,350",0.01%
Fraport AG Frankfurt Airport Services Worldwide,FRA GR,440,"43,009",0.00%
Freeport-McMoRan Inc,FCX US,"58,225","3,581,041",0.01%
Fresenius Medical Care AG,FME GR,"230,829","17,047,976",0.04%
Fresenius SE & Co KGaA,FRE GR,"100,698","5,648,562",0.01%
Freshpet Inc,FRPT US,"31,538","7,544,295",0.02%
Frontier Communications Parent Inc,FYBR US,"30,712","1,721,224",0.00%
Fubon Financial Holding Co Ltd,2881 TT,"6,059","26,955",0.00%
Fuji Electric Co Ltd,6504 JP,"33,795","2,972,243",0.01%
Fujikura Ltd,5803 JP,"27,636","1,859,733",0.00%
Fujitsu Ltd,6702 JP,"328,424","9,448,815",0.02%
Furukawa Electric Co Ltd,5801 JP,"8,237","565,891",0.00%
Futu Holdings Ltd,FUTU US,"6,499","839,596",0.00%
G8 Education Ltd,GEM AU,"162,550","212,128",0.00%
Galaxy Entertainment Group Ltd,27 HK,"1,201,679","8,245,176",0.02%
Garmin Ltd,GRMN US,"20,081","6,689,783",0.02%
Gartner Inc,IT US,"22,127","17,313,645",0.04%
Gaztransport Et Technigaz SA,GTT FP,"5,155","1,108,820",0.00%
GE Aerospace,GE US,"53,457","14,400,639",0.03%
GE Vernova Inc,GEV US,"4,155","2,207,628",0.01%
GEA Group AG,G1A GR,"40,182","3,213,655",0.01%
Geberit AG,GEBN SW,786,"720,837",0.00%
Geely Automobile Holdings Ltd,175 HK,"8,362","25,766",0.00%
General Mills Inc,GIS US,36,"3,732",0.00%
General Motors Co,GM US,"48,457","4,169,081",0.01%
Generali,G IM,"24,195","1,103,492",0.00%
Generation Development Group Ltd,GDG AU,"1,008,100","3,629,159",0.01%
Genesis Minerals Ltd,GMD AU,"1,595,883","3,941,831",0.01%
Genmab A/S,GMAB DC,"5,252","1,757,869",0.00%
Genmab A/S,GMAB US,"18,622","627,694",0.00%
Genting Singapore Ltd,GENS SP,"781,582","707,884",0.00%
Gentrack Group Ltd,GTK AU,"645,136","7,477,129",0.02%
George Weston Ltd,WN CN,"1,053","264,252",0.00%
Gerdau SA,GGBR4 BZ,"48,744","231,166",0.00%
Getlink SE,GET FP,"5,315","136,926",0.00%
Gildan Activewear Inc,GIL CN,"27,354","2,078,136",0.00%
Gilead Sciences Inc,GILD US,"75,913","11,325,315",0.03%
Givaudan SA,GIVN SW,795,"5,618,037",0.01%
Glencore PLC,GLEN LN,"172,840","1,235,543",0.00%
Global Payments Inc,GPN US,"108,313","19,603,528",0.05%
Globant SA,GLOB US,"57,008","19,742,766",0.05%
GMO Payment Gateway Inc,3769 JP,"46,574","3,815,186",0.01%
GMR Airports Ltd,GMRAIRPO IN,"1,744,571","2,585,537",0.01%
GoDaddy Inc,GDDY US,"45,077","14,369,514",0.03%
Gold Fields Ltd,GFI SJ,"19,837","419,538",0.00%
Gold Road Resources Ltd,GOR AU,"4,834,803","9,911,346",0.02%
Goldman Sachs Group Inc/The,GS US,"15,866","14,673,511",0.03%
GQG Partners Inc,GQG AU,"6,721,691","13,913,901",0.03%
Grab Holdings Ltd,GRAB US,"384,161","2,928,599",0.01%
Graco Inc,GGG US,"25,445","3,464,094",0.01%
GrainCorp Ltd,GNC AU,"378,133","2,775,500",0.01%
Graphic Packaging Holding Co,GPK US,"13,456","590,284",0.00%
Great-West Lifeco Inc,GWO CN,"41,123","2,201,503",0.01%
Gree Electric Appliances Inc of Zhuhai,000651 C2,"19,784","198,966",0.00%
Grupo Aeroportuario del Sureste SAB de CV,ASURB MM,"11,170","463,916",0.00%
Grupo Financiero Banorte SAB de CV,GFNORTEO MM,"2,339","24,339",0.00%
Grupo Financiero Inbursa SAB de CV,GFINBURO MM,"28,087","94,666",0.00%
Grupo Mexico SAB de CV,GMEXICOB MM,"779,595","5,990,864",0.01%
GS Yuasa Corp,6674 JP,109,"2,971",0.00%
GSK PLC,GSK LN,"509,774","13,884,522",0.03%
Gudeng Precision Industrial Co Ltd,3680 TT,"120,861","2,899,677",0.01%
Guidewire Software Inc,GWRE US,"25,441","6,926,929",0.02%
Guzman y Gomez Ltd,GYG AU,"342,568","13,897,986",0.03%
GWA Group Ltd,GWA AU,"54,560","132,035",0.00%
H Lundbeck A/S,HLUNB DC,"299,485","2,775,304",0.01%
H World Group Ltd,HTHT US,"23,787","1,268,985",0.00%
H&R Block Inc,HRB US,"54,129","4,619,497",0.01%
Haidilao International Holding Ltd,6862 HK,"202,461","669,323",0.00%
Haleon PLC,HLN LN,"6,185,439","47,219,304",0.11%
Halliburton Co,HAL US,"1,124","49,339",0.00%
Hamilton Lane Inc,HLNE US,"27,639","6,608,892",0.02%
Hana Financial Group Inc,086790 KS,"23,585","1,469,711",0.00%
Hang Seng Bank Ltd,11 HK,"49,313","979,702",0.00%
Hangzhou Robam Appliances Co Ltd,002508 C2,"386,702","1,833,682",0.00%
Hangzhou Tigermed Consulting Co Ltd,3347 HK,"350,446","2,244,240",0.01%
Hankook Tire & Technology Co Ltd,161390 KS,"6,988","294,414",0.00%
Hannover Rueck SE,HNR1 GR,"14,294","5,770,821",0.01%
Hansen Technologies Ltd,HSN AU,"29,905","159,994",0.00%
Hansoh Pharmaceutical Group Co Ltd,3692 HK,"130,868","470,193",0.00%
Hargreaves Lansdown PLC,HL/ LN,"49,670","1,103,171",0.00%
Harmony Gold Mining Co Ltd,HAR SJ,"79,238","1,021,936",0.00%
Hartford Financial Services Group Inc/The,HIG US,"48,020","8,484,819",0.02%
Harvey Norman Holdings Ltd,HVN AU,"808,306","3,774,790",0.01%
Hasbro Inc,HAS US,"43,462","3,924,688",0.01%
